-2.58617596513997e-16*a3,3.72318990965417e-9*a3,-2.40672832506594e-8*a3,1.83827906813518e-8*a3
3.72318990965417e-9*a3,-0.0536009277412042*a3,0.346484799795108*a3,-0.264647965562504*a3
-2.40672832506594e-8*a3,0.346484799795108*a3,-2.2397320633831*a3,1.71072593755906*a3
1.83827906813518e-8*a3,-0.264647965562504*a3,1.71072593755906*a3,-1.3066666684303*a3
