-1.3741530234667e-15*a3,-9.9566362969706e-10*a3,1.77566514920802e-8*a3,-2.93161313549528e-8*a3,1.88133104042758e-8*a3,3.04034524321985e-8*a3
-9.9566362969706e-10*a3,-0.00592380204565466*a3,0.105645133607438*a3,-0.0677132722474237*a3,-0.0222197858590341*a3,0.0464201735355259*a3
1.77566514920802e-8*a3,0.105645133607438*a3,-1.88407616745658*a3,1.20759745705933*a3,0.396269837244486*a3,-0.827855749200954*a3
-2.93161313549528e-8*a3,-0.0677132722474237*a3,1.20759745705933*a3,-1.78687139501331*a3,1.01938691414081*a3,1.80699704203208*a3
1.88133104042758e-8*a3,-0.0222197858590341*a3,0.396269837244486*a3,1.01938691414081*a3,-1.68424017200753*a3,-1.43055612743349*a3
3.04034524321985e-8*a3,0.0464201735355259*a3,-0.827855749200954*a3,1.80699704203208*a3,-1.43055612743349*a3,-1.97222224089709*a3
