-2.68613160343489e-15*a3,-7.08044972149084e-10*a3,5.5191282261624e-8*a3,-1.74496664593983e-8*a3,-4.23693935566753e-8*a3,2.4880887179123e-8*a3,2.35589564912588e-8*a3
-7.08044972149084e-10*a3,-0.000234214914583985*a3,0.0182568074195812*a3,-0.00225909713710411*a3,-0.0162589824811043*a3,0.00373387037342313*a3,0.0124956716412118*a3
5.5191282261624e-8*a3,0.0182568074195812*a3,-1.42309902745392*a3,0.176090814537761*a3,1.26737286325537*a3,-0.291046880890406*a3,-0.974029132266294*a3
-1.74496664593983e-8*a3,-0.00225909713710411*a3,0.176090814537761*a3,-0.951955310145398*a3,0.437203288426977*a3,1.22655794071914*a3,-1.12457724082865*a3
-4.23693935566753e-8*a3,-0.0162589824811043*a3,1.26737286325537*a3,0.437203288426977*a3,-1.50804499364241*a3,-0.501109933747349*a3,1.66259299113032*a3
2.4880887179123e-8*a3,0.00373387037342313*a3,-0.291046880890406*a3,1.22655794071914*a3,-0.501109933747349*a3,-1.58333335915262*a3,1.39443336231578*a3
2.35589564912588e-8*a3,0.0124956716412118*a3,-0.974029132266294*a3,-1.12457724082865*a3,1.66259299113032*a3,1.39443336231578*a3,-2.33333337055918*a3
