-1.75177137075492e-15*a3,-9.81062759997805e-9*a3,9.13370678624671e-8*a3,-3.95335132452305e-8*a3,-3.07289679369231e-8*a3,7.5104561126955e-16*a3,1.26770016385382e-8*a3
-9.81062759997805e-9*a3,-0.0585486693636707*a3,0.545088877438185*a3,-0.266789618005537*a3,-0.112129666419393*a3,5.05156139657009e-7*a3,0.131144537996416*a3
9.13370678624671e-8*a3,0.545088877438185*a3,-5.07478457728207*a3,2.48381392566454*a3,1.04392268150774*a3,2.26919121224194e-7*a3,-1.22095684808053*a3
-3.95335132452305e-8*a3,-0.266789618005537*a3,2.48381392566454*a3,-3.27806031769005*a3,1.1234547961531*a3,1.91011561430388*a3,3.87415057968507*a3
-3.07289679369231e-8*a3,-0.112129666419393*a3,1.04392268150774*a3,1.1234547961531*a3,-10.2819379199048*a3,3.84278531338288*a3,-3.55700466050175*a3
7.5104561126955e-16*a3,5.05156139657009e-7*a3,2.26919121224194e-7*a3,1.91011561430388*a3,3.84278531338288*a3,-5.03999943686063*a3,-2.29483892514494*a3
1.26770016385382e-8*a3,0.131144537996416*a3,-1.22095684808053*a3,3.87415057968507*a3,-3.55700466050175*a3,-2.29483892514494*a3,-5.66666614487893*a3
