-4.02222240916168*a3,2.44692527022425*a3,7.68625268682429e-9*a3,-1.20527938541415*a3
2.44692527022425*a3,-4.30577836990371*a3,2.06601038471951*a3,2.11957929477027*a3
7.68625268682429e-9*a3,2.06601038471951*a3,-3.21955582307226*a3,-0.115885225601677*a3
-1.20527938541415*a3,2.11957929477027*a3,-0.115885225601677*a3,-5.44800050754221*a3
