-1.51817183014411e-14*a3,-1.35322518399699e-9*a3,2.40302384940908e-7*a3,-3.75205474442138e-9*a3,-1.58597731574854e-7*a3,-1.84255563621933e-15*a3,3.25356491381644e-15*a3,5.77425533982067e-9*a3,3.49357617770428e-9*a3,8.82625188025813e-8*a3,0,0
-1.35322518399699e-9*a3,-0.00012144148313153*a3,0.0215652773122382*a3,-0.000613665420108626*a3,-0.014051770046924*a3,-1.09020225446338e-7*a3,-4.95441311884847e-8*a3,0.000901852412139923*a3,0.000304610350848035*a3,0.00769355402272491*a3,4.78082269813998e-8*a3,-7.65628901544404e-8*a3
2.40302384940908e-7*a3,0.0215652773122382*a3,-3.82950844800691*a3,0.108992637299602*a3,2.49528437841672*a3,-4.2876460394223e-9*a3,-1.57274214681116e-7*a3,-0.16017619032525*a3,-0.0540764023060834*a3,-1.36619957168123*a3,8.7948070860635e-8*a3,-3.23794274639165e-8*a3
-3.75205474442138e-9*a3,-0.000613665420108626*a3,0.108992637299602*a3,-1.76308933680307*a3,0.100027375372339*a3,1.53159833618093*a3,0.150640706546394*a3,2.47034576858727*a3,-1.21999808669863*a3,-0.439460667864305*a3,-0.475559335013573*a3,1.26087205704752*a3
-1.58597731574854e-7*a3,-0.014051770046924*a3,2.49528437841672*a3,0.100027375372339*a3,-3.95839253957332*a3,0.27552581683454*a3,2.33499492296165*a3,-0.0699095263232389*a3,-0.240612987724318*a3,1.90392070584998*a3,-1.41626875200121*a3,-0.0391777176304668*a3
-1.84255563621933e-15*a3,-1.09020225446338e-7*a3,-4.2876460394223e-9*a3,1.53159833618093*a3,0.27552581683454*a3,-2.45332465615223*a3,0.0885329575380015*a3,-2.15778548735866*a3,1.90344127588143*a3,-0.142096569081866*a3,0.502763584634867*a3,-1.98887637906124*a3
3.25356491381644e-15*a3,-4.95441311884847e-8*a3,-1.57274214681116e-7*a3,0.150640706546394*a3,2.33499492296165*a3,0.0885329575380015*a3,-2.8022308403544*a3,-0.27736566661506*a3,0.0259089233543562*a3,-0.702736232017505*a3,1.63618903715303*a3,0.353956073617557*a3
5.77425533982067e-9*a3,0.000901852412139923*a3,-0.16017619032525*a3,2.47034576858727*a3,-0.0699095263232389*a3,-2.15778548735866*a3,-0.27736566661506*a3,-3.46317462474818*a3,1.72027870582514*a3,0.585730810569517*a3,0.707546679863039*a3,-1.76886647760458*a3
3.49357617770428e-9*a3,0.000304610350848035*a3,-0.0540764023060834*a3,-1.21999808669863*a3,-0.240612987724318*a3,1.90344127588143*a3,0.0259089233543562*a3,1.72027870582514*a3,-1.4826726189519*a3,0.138327426481558*a3,-0.510224613290272*a3,1.59779508203544*a3
8.82625188025813e-8*a3,0.00769355402272491*a3,-1.36619957168123*a3,-0.439460667864305*a3,1.90392070584998*a3,-0.142096569081866*a3,-0.702736232017505*a3,0.585730810569517*a3,0.138327426481558*a3,-3.04773346461317*a3,3.10968719630518*a3,-2.70602648881378*a3
0,4.78082269813998e-8*a3,8.7948070860635e-8*a3,-0.475559335013573*a3,-1.41626875200121*a3,0.502763584634867*a3,1.63618903715303*a3,0.707546679863039*a3,-0.510224613290272*a3,3.10968719630518*a3,-4.92765438522839*a3,4.08765436460255*a3
0,-7.65628901544404e-8*a3,-3.23794274639165e-8*a3,1.26087205704752*a3,-0.0391777176304668*a3,-1.98887637906124*a3,0.353956073617557*a3,-1.76886647760458*a3,1.59779508203544*a3,-2.70602648881378*a3,4.08765436460255*a3,-5.48765452393342*a3
