-2.31416203290702e-15*a3,2.24398775151444e-8*a3,-1.08173533069955e-7*a3,6.44076848813388e-8*a3
2.24398775151444e-8*a3,-0.217594142386881*a3,1.04893296059349*a3,-0.624545964897581*a3
-1.08173533069955e-7*a3,1.04893296059349*a3,-5.05647966324003*a3,3.01068236856284*a3
6.44076848813388e-8*a3,-0.624545964897581*a3,3.01068236856284*a3,-1.7925926589344*a3
