-1.31755986680238e-15*a3,-2.40057068522732e-10*a3,2.94949641373885e-8*a3,9.5890223363181e-9*a3,-2.90577907949984e-8*a3,1.71113625698792e-15*a3,-1.27694500108194e-8*a3,2.16232729737111e-9*a3,2.44819464330063e-8*a3
-2.40057068522732e-10*a3,-0.000165217418800665*a3,0.0202995607311169*a3,-0.00106690117136905*a3,-0.0150485795780424*a3,4.04679260498268e-8*a3,0.00164092169935449*a3,0.000829288289043465*a3,0.00938945776617887*a3
2.94949641373885e-8*a3,0.0202995607311169*a3,-2.49412058894992*a3,0.131080609615583*a3,1.84895495279768*a3,-7.22047837674897e-8*a3,-0.201606113858222*a3,-0.101893942758499*a3,-1.15364648270204*a3
9.5890223363181e-9*a3,-0.00106690117136905*a3,0.131080609615583*a3,-1.13591706018624*a3,0.145783917323048*a3,0.752237655327221*a3,1.57013782387007*a3,-0.459001673249801*a3,-0.873517468833337*a3
-2.90577907949984e-8*a3,-0.0150485795780424*a3,1.84895495279768*a3,0.145783917323048*a3,-2.61646375662888*a3,1.68528415884754*a3,-0.128136643322732*a3,-0.726518306233978*a3,1.46012019691976*a3
1.71113625698792e-15*a3,4.04679260498268e-8*a3,-7.22047837674897e-8*a3,0.752237655327221*a3,1.68528415884754*a3,-3.36000012026051*a3,-1.12885404221076*a3,1.70536192583758*a3,-0.00266830532630461*a3
-1.27694500108194e-8*a3,0.00164092169935449*a3,-0.201606113858222*a3,1.57013782387007*a3,-0.128136643322732*a3,-1.12885404221076*a3,-2.17333330551072*a3,0.677025235067162*a3,1.17747061730461*a3
2.16232729737111e-9*a3,0.000829288289043465*a3,-0.101893942758499*a3,-0.459001673249801*a3,-0.726518306233978*a3,1.70536192583758*a3,0.677025235067162*a3,-0.876811666288032*a3,-0.12611285829167*a3
2.44819464330063e-8*a3,0.00938945776617887*a3,-1.15364648270204*a3,-0.873517468833337*a3,1.46012019691976*a3,-0.00266830532630461*a3,1.17747061730461*a3,-0.12611285829167*a3,-1.44318844819958*a3
