-2.71428597892077*a3,1.7821032415633*a3,-0.903959562676085*a3
1.7821032415633*a3,-3.13571467987831*a3,2.31423655888442*a3
-0.903959562676085*a3,2.31423655888442*a3,-8.14999946511812*a3
