-1.05233726662738e-15*a3,-4.76184005940974e-10*a3,1.40292776059629e-8*a3,-6.77644165399145e-9*a3,9.78985007289677e-9*a3,-1.67616420582165e-8*a3,-1.69216349988398e-15*a3,5.02765395388328e-9*a3,-1.25151094539932e-8*a3
-4.76184005940974e-10*a3,-0.00335361129415409*a3,0.098803511172733*a3,-0.0174237657447084*a3,-0.0578051185569482*a3,-0.00983135070367855*a3,1.53955307895408e-8*a3,0.0226474309845795*a3,0.0216832424461937*a3
1.40292776059629e-8*a3,0.098803511172733*a3,-2.91093181761483*a3,0.513335501737251*a3,1.70304400928215*a3,0.289649759492673*a3,5.63733022269444e-8*a3,-0.667234009580138*a3,-0.638828188427286*a3
-6.77644165399145e-9*a3,-0.0174237657447084*a3,0.513335501737251*a3,-2.18826683985301*a3,0.637268011586877*a3,0.100157669944402*a3,0.650449136307053*a3,2.66888829030957*a3,-1.80540668441486*a3
9.78985007289677e-9*a3,-0.0578051185569482*a3,1.70304400928215*a3,0.637268011586877*a3,-3.58443433463102*a3,0.372405437093865*a3,1.46825660499842*a3,-0.28451699876973*a3,1.62925749714243*a3
-1.67616420582165e-8*a3,-0.00983135070367855*a3,0.289649759492673*a3,0.100157669944402*a3,0.372405437093865*a3,-2.97412433692848*a3,2.35642071688723*a3,-0.241243583587837*a3,-2.06646805178047*a3
-1.69216349988398e-15*a3,1.53955307895408e-8*a3,5.63733022269444e-8*a3,0.650449136307053*a3,1.46825660499842*a3,2.35642071688723*a3,-4.6666670436756*a3,-1.17588964113716*a3,2.53311435364357*a3
5.02765395388328e-9*a3,0.0226474309845795*a3,-0.667234009580138*a3,2.66888829030957*a3,-0.28451699876973*a3,-0.241243583587837*a3,-1.17588964113716*a3,-3.35555580000975*a3,2.10633977225421*a3
-1.25151094539932e-8*a3,0.0216832424461937*a3,-0.638828188427286*a3,-1.80540668441486*a3,1.62925749714243*a3,-2.06646805178047*a3,2.53311435364357*a3,2.10633977225421*a3,-3.65000041091495*a3
