-1.05233726662738e-15*v3,-4.76184005940974e-10*v3,1.40292776059629e-8*v3,-6.77644165399145e-9*v3,9.78985007289677e-9*v3,-1.67616420582165e-8*v3,-1.69216349988398e-15*v3,5.02765395388328e-9*v3,-1.25151094539932e-8*v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.76184005940974e-10*v3,-0.00335361129415409*v3,0.098803511172733*v3,-0.0174237657447084*v3,-0.0578051185569482*v3,-0.00983135070367855*v3,1.53955307895408e-8*v3,0.0226474309845795*v3,0.0216832424461937*v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.40292776059629e-8*v3,0.098803511172733*v3,-2.91093181761483*v3,0.513335501737251*v3,1.70304400928215*v3,0.289649759492673*v3,5.63733022269444e-8*v3,-0.667234009580138*v3,-0.638828188427286*v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-6.77644165399145e-9*v3,-0.0174237657447084*v3,0.513335501737251*v3,-2.18826683985301*v3,0.637268011586877*v3,0.100157669944402*v3,0.650449136307053*v3,2.66888829030957*v3,-1.80540668441486*v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.78985007289677e-9*v3,-0.0578051185569482*v3,1.70304400928215*v3,0.637268011586877*v3,-3.58443433463102*v3,0.372405437093865*v3,1.46825660499842*v3,-0.28451699876973*v3,1.62925749714243*v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.67616420582165e-8*v3,-0.00983135070367855*v3,0.289649759492673*v3,0.100157669944402*v3,0.372405437093865*v3,-2.97412433692848*v3,2.35642071688723*v3,-0.241243583587837*v3,-2.06646805178047*v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.69216349988398e-15*v3,1.53955307895408e-8*v3,5.63733022269444e-8*v3,0.650449136307053*v3,1.46825660499842*v3,2.35642071688723*v3,-4.6666670436756*v3,-1.17588964113716*v3,2.53311435364357*v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.02765395388328e-9*v3,0.0226474309845795*v3,-0.667234009580138*v3,2.66888829030957*v3,-0.28451699876973*v3,-0.241243583587837*v3,-1.17588964113716*v3,-3.35555580000975*v3,2.10633977225421*v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.25151094539932e-8*v3,0.0216832424461937*v3,-0.638828188427286*v3,-1.80540668441486*v3,1.62925749714243*v3,-2.06646805178047*v3,2.53311435364357*v3,2.10633977225421*v3,-3.65000041091495*v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,-3.35714265196989*v3,1.54215169107507*v3,0.534013214872353*v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.54215169107507*v3,-4.7978352573303*v3,0.741057786884561*v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
