aF*(0.0236738558989484*sqrt(858)*(chi + 1.3228756555323) - 0.666380392857143*sqrt(6)),-0.000258053146199916*sqrt(858)*aF*(chi + 1.3228756555323),0.0088384617373565*sqrt(858)*aF*(chi + 1.3228756555323),0,aF*(0.0181683189040019*sqrt(11) + 0.0144733803921982*sqrt(39))*(chi + 1.3228756555323),aF*((-0.000363664347051055*sqrt(255255) - 0.00332658341176153*sqrt(95))*(chi + 1.3228756555323) + 0.0228424474789916*sqrt(1785)),aF*(-8.42773613165214e-6*sqrt(255255) + 0.00512660793912038*sqrt(95))*(chi + 1.3228756555323),0
-0.000258053980756427*sqrt(858)*aF*(chi + 1.3228756555323),aF*(0.0305620015847725*sqrt(858)*(chi + 1.3228756555323) + 0.467583390582628*sqrt(6)),aF*(-0.00965593489093665*sqrt(858)*(chi + 1.3228756555323) - 0.177961125130493*sqrt(6)),0.00443719662644989*sqrt(858)*aF*(chi + 1.3228756555323),aF*((chi + 1.3228756555323)*(-0.0282662985680745*sqrt(39) - 0.0260163722336865*sqrt(11) - 0.0627908684015648) - 0.107318094829848*sqrt(13)),aF*(0.00649676836927064*sqrt(95) + 0.000205863401482469*sqrt(255255))*(chi + 1.3228756555323),aF*((-0.0100121897388084*sqrt(95) - 0.000192259852306381*sqrt(255255))*(chi + 1.3228756555323) - 0.011474059195634*sqrt(1785)),0
0.008838460072868*sqrt(858)*aF*(chi + 1.3228756555323),aF*(-0.0096559344872955*sqrt(858)*(chi + 1.3228756555323) - 0.177961125130493*sqrt(6)),aF*(0.0217278603171638*sqrt(858)*(chi + 1.3228756555323) + 0.376774370111116*sqrt(6)),0.00647242289253605*sqrt(858)*aF*(chi + 1.3228756555323),aF*((chi + 1.3228756555323)*(-0.0295236918838995*sqrt(11) + 0.0252264447703071*sqrt(39) + 0.405890148712633) + 0.216114805990817*sqrt(13)),aF*(-0.00579808382261944*sqrt(95) + 0.000381833983793444*sqrt(255255))*(chi + 1.3228756555323),aF*((-0.000122002442135781*sqrt(255255) + 0.00893544483256659*sqrt(95))*(chi + 1.3228756555323) - 0.00935313989433575*sqrt(1785)),0
0,0.00443719407873501*sqrt(858)*aF*(chi + 1.3228756555323),0.00647242331570209*sqrt(858)*aF*(chi + 1.3228756555323),aF*(0.0103785108283502*sqrt(858)*(chi + 1.3228756555323) - 0.144865331302871*sqrt(6)),aF*(-0.310022231163283 + 0.0467376147325601*sqrt(11))*(chi + 1.3228756555323),0,0.000585364537360667*sqrt(255255)*aF*(chi + 1.3228756555323),0
aF*(0.0181683141099205*sqrt(11) + 0.0144733822975924*sqrt(39))*(chi + 1.3228756555323),aF*((chi + 1.3228756555323)*(-0.0282662967402749*sqrt(39) - 0.0260163678045959*sqrt(11) - 0.0627908679742608) - 0.107318056112311*sqrt(13)),aF*((chi + 1.3228756555323)*(-0.0295236909052596*sqrt(11) + 0.0252264465631151*sqrt(39) + 0.405890159578894) + 0.216114770231998*sqrt(13)),aF*(-0.310022209389909 + 0.0467376067745612*sqrt(11))*(chi + 1.3228756555323),aF*(0.000654107792161563*sqrt(858)*(chi + 1.3228756555323) + 0.00131061815266008*sqrt(374)),aF*(-0.00161144482619066*sqrt(13090) - 0.000448094592421869*sqrt(2090))*(chi + 1.3228756555323),aF*((0.000690559956159472*sqrt(2090) + 0.00248340306404807*sqrt(13090))*(chi + 1.3228756555323) + 0.00299483786343252*sqrt(39270)),0
aF*((-0.000363664289276492*sqrt(255255) - 0.00332658366502482*sqrt(95))*(chi + 1.3228756555323) + 0.0228424485643212*sqrt(1785)),aF*(0.00649676758849824*sqrt(95) + 0.000205863431471904*sqrt(255255))*(chi + 1.3228756555323),aF*(-0.00579808391280036*sqrt(95) + 0.000381834020443967*sqrt(255255))*(chi + 1.3228756555323),0,aF*(-0.00161144499539655*sqrt(13090) - 0.000448094567545889*sqrt(2090))*(chi + 1.3228756555323),aF*(-0.0159830429419737*sqrt(858)*(chi + 1.3228756555323) + 0.00101978261707942*sqrt(646646)),-0.00231084664213827*sqrt(858)*aF*(chi + 1.3228756555323),aF*(-0.00374005106941378*sqrt(4290)*(chi + 1.3228756555323) + 0.000608247899694878*sqrt(3233230))
aF*(-8.42772435046455e-6*sqrt(255255) + 0.00512660930626576*sqrt(95))*(chi + 1.3228756555323),aF*((-0.0100121904433125*sqrt(95) - 0.000192259835261806*sqrt(255255))*(chi + 1.3228756555323) - 0.0114740593922041*sqrt(1785)),aF*((-0.000122002467683465*sqrt(255255) + 0.00893544667413328*sqrt(95))*(chi + 1.3228756555323) - 0.00935313845838343*sqrt(1785)),0.000585364551924776*sqrt(255255)*aF*(chi + 1.3228756555323),aF*((0.000690560049404544*sqrt(2090) + 0.0024834035983222*sqrt(13090))*(chi + 1.3228756555323) + 0.00299483785762204*sqrt(39270)),-0.00231084651184208*sqrt(858)*aF*(chi + 1.3228756555323),aF*(-0.0139212635462711*sqrt(858)*(chi + 1.3228756555323) - 0.000421214564718594*sqrt(646646)),0.00576380531773664*sqrt(4290)*aF*(chi + 1.3228756555323)
0,0,0,0,0,aF*(-0.00374005143508466*sqrt(4290)*(chi + 1.3228756555323) + 0.00060824798770043*sqrt(3233230)),0.00576380478301925*sqrt(4290)*aF*(chi + 1.3228756555323),aF*(-0.0344480078071307*sqrt(858)*(chi + 1.3228756555323) + 0.0125227398906318*sqrt(11362))
