-4.79277968224237e-10*sqrt(858)*aF*(chi + 1.3228756555323),aF*(-0.00273712712792961*sqrt(10374) + 5.5018321425212e-5*sqrt(114114))*(chi + 1.3228756555323),aF*((-1.048827979151e-5*sqrt(114114) + 0.000521785580764881*sqrt(10374))*(chi + 1.3228756555323) + 0.00458190506637989*sqrt(5187)),aF*((-5.51646358877208e-5*sqrt(114114) + 0.0027444059770942*sqrt(10374))*(chi + 1.3228756555323) + 0.0135662745873047*sqrt(5187)),aF*(-5.46645063534673e-5*sqrt(114114) + 0.00271952448459439*sqrt(10374))*(chi + 1.3228756555323),aF*(4.3745557848883e-11*sqrt(16302)*(chi + 1.3228756555323) - 0.00357878501142131*sqrt(19019)),0,0,0
aF*(-0.00273712700643425*sqrt(10374) + 5.50183268640088e-5*sqrt(114114))*(chi + 1.3228756555323),aF*(-0.00447424129594469*sqrt(858)*(chi + 1.3228756555323) + 0.0579948294823893*sqrt(39)),0.000263769266290725*sqrt(858)*aF*(chi + 1.3228756555323),-0.00255001382463035*sqrt(858)*aF*(chi + 1.3228756555323),0,0.00156406008603505*sqrt(6006)*aF*(chi + 1.3228756555323),aF*((-0.0377078523045467*sqrt(33) - 0.00199099360604121*sqrt(858))*(chi + 1.3228756555323) + 0.519685680008748*sqrt(6)),aF*(-0.00158990383002924*sqrt(33) + 0.00314803677151303*sqrt(858))*(chi + 1.3228756555323),0
aF*((-1.04882771554556e-5*sqrt(114114) + 0.000521785830421308*sqrt(10374))*(chi + 1.3228756555323) + 0.00458190490160696*sqrt(5187)),0.000263769286999824*sqrt(858)*aF*(chi + 1.3228756555323),aF*(-0.00637156053569306*sqrt(858)*(chi + 1.3228756555323) - 0.0378118125055397*sqrt(39)),aF*(0.00227456503008344*sqrt(858)*(chi + 1.3228756555323) + 0.0185167377338039*sqrt(39)),-0.00118495180661976*sqrt(858)*aF*(chi + 1.3228756555323),aF*((-0.00250208261934031*sqrt(6006) - 0.0061987572041741*sqrt(26))*(chi + 1.3228756555323) - 0.0162056045848396*sqrt(273)),aF*(0.00347349501332927*sqrt(858) + 0.0196094231621813*sqrt(33))*(chi + 1.3228756555323),aF*((-0.0054920769180016*sqrt(858) - 0.0193363654680252*sqrt(33))*(chi + 1.3228756555323) - 0.256300671352695*sqrt(6)),0
aF*((-5.51646342442253e-5*sqrt(114114) + 0.00274440586449671*sqrt(10374))*(chi + 1.3228756555323) + 0.0135662736243556*sqrt(5187)),-0.00255001372910934*sqrt(858)*aF*(chi + 1.3228756555323),aF*(0.0022745654416856*sqrt(858)*(chi + 1.3228756555323) + 0.0185167377338039*sqrt(39)),aF*(-0.00264407531458719*sqrt(858)*(chi + 1.3228756555323) - 0.0177411385158601*sqrt(39)),-0.00232039751098627*sqrt(858)*aF*(chi + 1.3228756555323),aF*((0.000110734133179297*sqrt(6006) + 0.0538390027069417*sqrt(26))*(chi + 1.3228756555323) + 0.0323973132177833*sqrt(273)),aF*(-0.00264611768197112*sqrt(858) + 0.0421966701482959*sqrt(33))*(chi + 1.3228756555323),aF*((-0.00534476262634667*sqrt(33) + 0.00418387871227725*sqrt(858))*(chi + 1.3228756555323) - 0.197125086417484*sqrt(6)),0
aF*(-5.46645193074269e-5*sqrt(114114) + 0.00271952483267827*sqrt(10374))*(chi + 1.3228756555323),0,-0.00118495205240599*sqrt(858)*aF*(chi + 1.3228756555323),-0.00232039786497561*sqrt(858)*aF*(chi + 1.3228756555323),aF*(0.000601250786091234*sqrt(858)*(chi + 1.3228756555323) + 0.0335759591565042*sqrt(39)),aF*(-0.0531422521291311*sqrt(26) + 0.0019425018953502*sqrt(6006))*(chi + 1.3228756555323),0,0.0608176051447259*sqrt(33)*aF*(chi + 1.3228756555323),0
aF*(-1.33682319554407e-10*sqrt(16302)*(chi + 1.3228756555323) - 0.00357878550619885*sqrt(19019)),0.00156405965216604*sqrt(6006)*aF*(chi + 1.3228756555323),aF*((-0.0025020825577271*sqrt(6006) - 0.00619876493762482*sqrt(26))*(chi + 1.3228756555323) - 0.0162056112796193*sqrt(273)),aF*((0.000110733840229377*sqrt(6006) + 0.0538390049183254*sqrt(26))*(chi + 1.3228756555323) + 0.0323973108681006*sqrt(273)),aF*(-0.0531422503471188*sqrt(26) + 0.0019425020292217*sqrt(6006))*(chi + 1.3228756555323),aF*(-0.00990675868612282*sqrt(858)*(chi + 1.3228756555323) - 0.102595955142378*sqrt(14)),aF*(-0.00421485226577419*sqrt(231) - 3.93619375859179e-5*sqrt(6006))*(chi + 1.3228756555323),aF*((6.22366774772585e-5*sqrt(6006) + 0.0066642663884082*sqrt(231))*(chi + 1.3228756555323) + 0.030323833470325*sqrt(42)),0
0,aF*((-0.0377078464977009*sqrt(33) - 0.0019909921864616*sqrt(858))*(chi + 1.3228756555323) + 0.519685647059131*sqrt(6)),aF*(0.003473493788986*sqrt(858) + 0.0196094211586225*sqrt(33))*(chi + 1.3228756555323),aF*(-0.00264611648932337*sqrt(858) + 0.042196669121735*sqrt(33))*(chi + 1.3228756555323),0,aF*(-0.00421485202371332*sqrt(231) - 3.93619263714446e-5*sqrt(6006))*(chi + 1.3228756555323),aF*(-0.0200092111250704*sqrt(858)*(chi + 1.3228756555323) + 0.452674200400445*sqrt(6)),-0.00408223785408033*sqrt(858)*aF*(chi + 1.3228756555323),aF*(-0.000466981265813246*sqrt(213486)*(chi + 1.3228756555323) + 0.00235050895372995*sqrt(180642))
0,aF*(-0.00158990318863149*sqrt(33) + 0.00314803559497603*sqrt(858))*(chi + 1.3228756555323),aF*((-0.00549207684540904*sqrt(858) - 0.0193363655427255*sqrt(33))*(chi + 1.3228756555323) - 0.256300668818706*sqrt(6)),aF*((-0.00534476488438828*sqrt(33) + 0.00418387824597505*sqrt(858))*(chi + 1.3228756555323) - 0.197125102760574*sqrt(6)),0.0608176034428886*sqrt(33)*aF*(chi + 1.3228756555323),aF*((6.22366808602859e-5*sqrt(6006) + 0.0066642657799547*sqrt(231))*(chi + 1.3228756555323) + 0.0303238399927141*sqrt(42)),-0.00408223869286324*sqrt(858)*aF*(chi + 1.3228756555323),aF*(-0.0161364614477721*sqrt(858)*(chi + 1.3228756555323) - 0.119124797228394*sqrt(6)),0.000738362338618558*sqrt(213486)*aF*(chi + 1.3228756555323)
0,0,0,0,0,0,aF*(-0.000466981408072439*sqrt(213486)*(chi + 1.3228756555323) + 0.00235050874268428*sqrt(180642)),0.000738362313050314*sqrt(213486)*aF*(chi + 1.3228756555323),aF*(-0.0227272733680946*sqrt(858)*(chi + 1.3228756555323) + 0.00109515771060458*sqrt(646646))
