aF*(0.0151435859247359*sqrt(858)*(chi + 1.3228756555323) - 0.196290192094241*sqrt(39)),-0.000892757516676301*sqrt(858)*aF*(chi + 1.3228756555323),0.0086308160218258*sqrt(858)*aF*(chi + 1.3228756555323),0,0.0516139828391567*sqrt(13)*aF*(chi + 1.3228756555323),aF*((-0.0345655312791678*sqrt(22) - 0.00365015494440888*sqrt(143))*(chi + 1.3228756555323) + 0.952757080016037),aF*(-0.00145741184419347*sqrt(22) + 0.00577140074777389*sqrt(143))*(chi + 1.3228756555323),0
-0.000892757586768636*sqrt(858)*aF*(chi + 1.3228756555323),aF*(0.021565281813115*sqrt(858)*(chi + 1.3228756555323) + 0.127978442326442*sqrt(39)),aF*(-0.00769852779412856*sqrt(858)*(chi + 1.3228756555323) - 0.0626720354067208*sqrt(39)),0.00401060611471304*sqrt(858)*aF*(chi + 1.3228756555323),aF*((-0.0825687264382304*sqrt(13) - 0.000885536743453443*sqrt(3003))*(chi + 1.3228756555323) - 0.0243084068772594*sqrt(286)),aF*(0.00636807419110365*sqrt(143) + 0.0179753045653328*sqrt(22))*(chi + 1.3228756555323),aF*((-0.0100688076830029*sqrt(143) - 0.0177250016790231*sqrt(22))*(chi + 1.3228756555323) - 0.469884564146607),0
0.00863081569852392*sqrt(858)*aF*(chi + 1.3228756555323),aF*(-0.00769852918724359*sqrt(858)*(chi + 1.3228756555323) - 0.0626720354067208*sqrt(39)),aF*(0.00894917798783356*sqrt(858)*(chi + 1.3228756555323) + 0.0600469303613727*sqrt(39)),0.00785365311410737*sqrt(858)*aF*(chi + 1.3228756555323),aF*((0.0036542263949168*sqrt(13) + 0.00769128610099167*sqrt(3003))*(chi + 1.3228756555323) + 0.0485959698266749*sqrt(286)),aF*(-0.00485121575028039*sqrt(143) + 0.0386802809692713*sqrt(22))*(chi + 1.3228756555323),aF*((-0.00489936574081778*sqrt(22) + 0.00767044430584163*sqrt(143))*(chi + 1.3228756555323) - 0.361395991765387),0
0,0.00401060694660488*sqrt(858)*aF*(chi + 1.3228756555323),0.00785365431222514*sqrt(858)*aF*(chi + 1.3228756555323),aF*(-0.00203500266061648*sqrt(858)*(chi + 1.3228756555323) - 0.113641707914322*sqrt(39)),aF*(-0.00759175030416159*sqrt(3003) + 0.0641025625465565*sqrt(13))*(chi + 1.3228756555323),0,0.0557494713826654*sqrt(22)*aF*(chi + 1.3228756555323),0
0.0516139685214795*sqrt(13)*aF*(chi + 1.3228756555323),aF*((-0.0825687244049942*sqrt(13) - 0.000885537848232117*sqrt(3003))*(chi + 1.3228756555323) - 0.0243084169194289*sqrt(286)),aF*((0.00365421672756944*sqrt(13) + 0.00769128641690364*sqrt(3003))*(chi + 1.3228756555323) + 0.0485959663021508*sqrt(286)),aF*(-0.0075917500495884*sqrt(3003) + 0.064102566964316*sqrt(13))*(chi + 1.3228756555323),aF*(-0.00199800175182309*sqrt(858)*(chi + 1.3228756555323) - 0.0206916212051854*sqrt(14)),aF*(-0.0995953979838494*sqrt(3) - 0.000930108006659839*sqrt(78))*(chi + 1.3228756555323),aF*((0.00147062963816633*sqrt(78) + 0.157474146511275*sqrt(3))*(chi + 1.3228756555323) + 0.0651400867140314*sqrt(66)),0
aF*((-0.0345655259562259*sqrt(22) - 0.00365015234184627*sqrt(143))*(chi + 1.3228756555323) + 0.952757019608406),aF*(0.00636807194647432*sqrt(143) + 0.0179753027287373*sqrt(22))*(chi + 1.3228756555323),aF*(-0.00485121356375952*sqrt(143) + 0.0386802800282571*sqrt(22))*(chi + 1.3228756555323),0,aF*(-0.0995953922640407*sqrt(3) - 0.000930107741665988*sqrt(78))*(chi + 1.3228756555323),aF*(-0.015042100423671*sqrt(858)*(chi + 1.3228756555323) + 0.340301810954304*sqrt(6)),-0.00306885820588149*sqrt(858)*aF*(chi + 1.3228756555323),aF*(-0.000916981394687829*sqrt(55913)*(chi + 1.3228756555323) + 0.0507709934005669*sqrt(391))
aF*(-0.00145741125624553*sqrt(22) + 0.00577139859078939*sqrt(143))*(chi + 1.3228756555323),aF*((-0.0100688075499166*sqrt(143) - 0.0177250017474984*sqrt(22))*(chi + 1.3228756555323) - 0.46988455950096),aF*((-0.00489936781068926*sqrt(22) + 0.00767044345095427*sqrt(143))*(chi + 1.3228756555323) - 0.361396021727719),0.0557494698226479*sqrt(22)*aF*(chi + 1.3228756555323),aF*((0.00147062971810601*sqrt(78) + 0.157474132133744*sqrt(3))*(chi + 1.3228756555323) + 0.0651401007250896*sqrt(66)),-0.00306885883644392*sqrt(858)*aF*(chi + 1.3228756555323),aF*(-0.0121307267969181*sqrt(858)*(chi + 1.3228756555323) - 0.0895531138963203*sqrt(6)),0.00144987513765099*sqrt(55913)*aF*(chi + 1.3228756555323)
0,0,0,0,0,aF*(-0.000916981674033153*sqrt(55913)*(chi + 1.3228756555323) + 0.0507709888419805*sqrt(391)),0.00144987508744425*sqrt(55913)*aF*(chi + 1.3228756555323),aF*(-0.0281052288976877*sqrt(858)*(chi + 1.3228756555323) + 0.00135430491978061*sqrt(646646))
