-2.41503399651756e-17*a3,6.04233902156738e-10*a3,-5.24804344962274e-9*a3,5.18012676560962e-9*a3
6.04233902156738e-10*a3,-0.0151177419879813*a3,0.13130439475495*a3,-0.129605140704615*a3
-5.24804344962274e-9*a3,0.13130439475495*a3,-1.14043777805378*a3,1.12567899166944*a3
5.18012676560962e-9*a3,-0.129605140704615*a3,1.12567899166944*a3,-1.11111120367163*a3
