-2.07183035578289e-16*a3,-2.62715018505524e-10*a3,1.12491255822122e-8*a3,-1.51724542897036e-8*a3,1.2694186196017e-8*a3
-2.62715018505524e-10*a3,-0.000333131430166141*a3,0.0142642674737001*a3,-0.0192391794934749*a3,0.0160966526631423*a3
1.12491255822122e-8*a3,0.0142642674737001*a3,-0.610777933681562*a3,0.823797388714077*a3,-0.68923835527557*a3
-1.51724542897036e-8*a3,-0.0192391794934749*a3,0.823797388714077*a3,-1.11111109329295*a3,0.929622250520967*a3
1.2694186196017e-8*a3,0.0160966526631423*a3,-0.68923835527557*a3,0.929622250520967*a3,-0.777777788270011*a3
