aF*(0.025218372469602*sqrt(858)*(chi + 1.3228756555323) - 0.898164925081429*sqrt(6)),-0.00277907600060246*sqrt(858)*aF*(chi + 1.3228756555323),0.0127904148747925*sqrt(858)*aF*(chi + 1.3228756555323),0,0,0,0,0,0,0,aF*(0.03283052898862*sqrt(11) + 0.0261536998569693*sqrt(39))*(chi + 1.3228756555323),0,0,0,aF*((-0.000483918711059149*sqrt(255255) - 0.0107503076523892*sqrt(95))*(chi + 1.3228756555323) + 0.0355422361260045*sqrt(1785)),aF*(2.66820704842708e-5*sqrt(255255) + 0.00466277306238259*sqrt(95))*(chi + 1.3228756555323),aF*(-4.69738935348196e-5*sqrt(255255) + 0.00954295110915542*sqrt(95))*(chi + 1.3228756555323),0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.00277907668550483*sqrt(858)*aF*(chi + 1.3228756555323),aF*(0.0274087712839879*sqrt(858)*(chi + 1.3228756555323) + 0.715437798436166*sqrt(6)),aF*(-0.00562396158081713*sqrt(858)*(chi + 1.3228756555323) - 0.174760594864428*sqrt(6)),-0.00028938735547053*sqrt(858)*aF*(chi + 1.3228756555323),0.00959877842507974*sqrt(858)*aF*(chi + 1.3228756555323),0.000475418841576036*sqrt(858)*aF*(chi + 1.3228756555323),0,0,-0.00236467848831688*sqrt(858)*aF*(chi + 1.3228756555323),0,aF*((chi + 1.3228756555323)*(-0.0188758029330101*sqrt(39) - 0.0190081633248652*sqrt(11) - 0.0250164283547782 + 7.08326964039905e-5*sqrt(51)) - 0.107939111183467*sqrt(13)),aF*(chi + 1.3228756555323)*(-3.99233086095319e-5*sqrt(51) + 0.000251399619756508 + 0.0215196229211281*sqrt(11) + 0.0175841949848498*sqrt(39)),aF*(chi + 1.3228756555323)*(-0.00541077808656146 - 9.66549672336812e-5*sqrt(51) + 0.0025066942867465*sqrt(11) + 0.00234184768098391*sqrt(39)),0,aF*(0.000164098373155826*sqrt(255255) + 0.00892645425416426*sqrt(95))*(chi + 1.3228756555323),aF*((chi + 1.3228756555323)*(-0.000434987452332454*sqrt(255255) - 0.00930442399342611*sqrt(95) - 1.21868946010354e-5*sqrt(595)) - 0.0263273768782272*sqrt(1785)),aF*((chi + 1.3228756555323)*(-0.00899692681605478*sqrt(95) + 0.000113460270227571*sqrt(595) + 2.13765078985834e-5*sqrt(255255)) - 0.00332180347971004*sqrt(1785)),aF*(chi + 1.3228756555323)*(-8.59329487620389e-6*sqrt(255255) - 2.31259563338111e-5*sqrt(595) + 0.00785749353084061*sqrt(95)),aF*(chi + 1.3228756555323)*(-7.87669295041288e-6*sqrt(255255) - 9.81724063925818e-5*sqrt(595) + 0.00087660895508034*sqrt(95)),0,aF*(chi + 1.3228756555323)*(-3.09757524459239e-5*sqrt(595) + 1.67084791340537e-5*sqrt(255255) + 0.00151446770055732*sqrt(95)),0,0,0,0,0,0,0,0,0,0
0.0127904143625049*sqrt(858)*aF*(chi + 1.3228756555323),aF*(-0.00562396234222254*sqrt(858)*(chi + 1.3228756555323) - 0.174760594864428*sqrt(6)),aF*(0.0167212062667485*sqrt(858)*(chi + 1.3228756555323) + 0.526264837794791*sqrt(6)),0.00424350303888488*sqrt(858)*aF*(chi + 1.3228756555323),-0.000561174386307816*sqrt(858)*aF*(chi + 1.3228756555323),0.0111572897519321*sqrt(858)*aF*(chi + 1.3228756555323),0,0,-0.00713079785174902*sqrt(858)*aF*(chi + 1.3228756555323),0,aF*((chi + 1.3228756555323)*(-0.0569178697350628*sqrt(11) - 0.00131116367366931*sqrt(51) + 0.0237651245386042*sqrt(39) + 0.463071620094144) + 0.332043834621242*sqrt(13)),aF*(chi + 1.3228756555323)*(-0.00241541176632713*sqrt(39) - 0.00465358313987546 + 0.000739008884865189*sqrt(51) + 0.0072170066737269*sqrt(11)),aF*(chi + 1.3228756555323)*(0.00178915230324849*sqrt(51) + 0.0260288205636*sqrt(11) + 0.0143500118318858*sqrt(39) + 0.100157294198048),0,aF*(-0.00723212032291576*sqrt(95) + 0.000405730195898418*sqrt(255255))*(chi + 1.3228756555323),aF*((chi + 1.3228756555323)*(-2.13781759421587e-5*sqrt(255255) + 0.000225588101356171*sqrt(595) + 0.00148367130091309*sqrt(95)) - 0.00303835362166652*sqrt(1785)),aF*((chi + 1.3228756555323)*(-0.000252285252369996*sqrt(255255) - 0.00210023043424214*sqrt(595) + 0.00209881095680224*sqrt(95)) - 0.0240616262376421*sqrt(1785)),aF*(chi + 1.3228756555323)*(-4.20900663192829e-6*sqrt(255255) + 0.000428077927329159*sqrt(595) + 0.00524747221374267*sqrt(95)),aF*(chi + 1.3228756555323)*(-3.90778150277773e-5*sqrt(255255) + 0.00181724118314664*sqrt(595) + 0.00601084686176391*sqrt(95)),0,aF*(chi + 1.3228756555323)*(-0.00348005955789886*sqrt(95) + 6.50727029362012e-6*sqrt(255255) + 0.000573383245782814*sqrt(595)),0,0,0,0,0,0,0,0,0,0
0,-0.00028938798900771*sqrt(858)*aF*(chi + 1.3228756555323),0.00424350082855853*sqrt(858)*aF*(chi + 1.3228756555323),aF*(0.0316529876569654*sqrt(858)*(chi + 1.3228756555323) + 0.504160559929121*sqrt(6)),aF*(-0.0161269945187878*sqrt(858)*(chi + 1.3228756555323) - 0.302189150700727*sqrt(6)),aF*(0.00222774929953339*sqrt(858)*(chi + 1.3228756555323) + 0.00416363849228612*sqrt(6)),0.00611444164911733*sqrt(858)*aF*(chi + 1.3228756555323),-0.000736443588616075*sqrt(858)*aF*(chi + 1.3228756555323),0.00426991887517996*sqrt(858)*aF*(chi + 1.3228756555323),-0.00360629144909979*sqrt(858)*aF*(chi + 1.3228756555323),aF*(chi + 1.3228756555323)*(0.00185970020160804*sqrt(51) + 0.00340377688267059*sqrt(39) + 0.0571481573935291 + 0.0196833937595804*sqrt(11)),aF*((chi + 1.3228756555323)*(-0.0359359343959722*sqrt(39) - 0.0417497189292211*sqrt(11) - 0.107071037417217 - 0.000989307875455577*sqrt(51)) - 0.190170246437858*sqrt(13)),aF*((chi + 1.3228756555323)*(-0.0137001940712357*sqrt(11) - 0.00253492413500528*sqrt(51) + 0.0270609319187155 + 0.0184251315450261*sqrt(39)) + 0.00236751772417417*sqrt(13)),aF*(chi + 1.3228756555323)*(-0.00525728356644522 - 0.000207105508149653*sqrt(51) + 0.00385582104049479*sqrt(11) + 0.00457178244990306*sqrt(39)),0,aF*(chi + 1.3228756555323)*(-0.000319964811409392*sqrt(595) + 0.00818172317098004*sqrt(95) + 0.000245832176599317*sqrt(255255)),aF*(chi + 1.3228756555323)*(-0.00416720847319844*sqrt(95) + 0.00297887978474343*sqrt(595) + 0.000146978912840824*sqrt(255255)),aF*((chi + 1.3228756555323)*(-0.000259079199778958*sqrt(255255) - 0.00934703438299893*sqrt(95) - 0.000579856077649779*sqrt(595)) - 0.0167895852294718*sqrt(1785)),aF*((chi + 1.3228756555323)*(-0.00228497871750986*sqrt(595) + 9.1973517217936e-5*sqrt(255255) + 0.00703533554678597*sqrt(95)) + 0.0024516756863721*sqrt(1785)),aF*(chi + 1.3228756555323)*(-0.000217137285862625*sqrt(595) - 5.36578722030587e-6*sqrt(255255) + 0.00485810529333889*sqrt(95)),aF*(chi + 1.3228756555323)*(-0.00798625163762865*sqrt(95) - 0.000813263026725609*sqrt(595) - 1.30128453486148e-5*sqrt(255255)),0,0,0,0,0,0,0,0,0,0
0,0.00959877868302945*sqrt(858)*aF*(chi + 1.3228756555323),-0.000561173375801418*sqrt(858)*aF*(chi + 1.3228756555323),aF*(-0.0161269922899496*sqrt(858)*(chi + 1.3228756555323) - 0.302189150700727*sqrt(6)),aF*(0.0264806656179439*sqrt(858)*(chi + 1.3228756555323) + 0.426816401684539*sqrt(6)),aF*(-0.00518623381050316*sqrt(858)*(chi + 1.3228756555323) - 0.15835614014523*sqrt(6)),0.00761542116182417*sqrt(858)*aF*(chi + 1.3228756555323),0.000843999787842911*sqrt(858)*aF*(chi + 1.3228756555323),0.00120681341238854*sqrt(858)*aF*(chi + 1.3228756555323),-0.00280779998008004*sqrt(858)*aF*(chi + 1.3228756555323),aF*(chi + 1.3228756555323)*(-0.10101629993754 - 0.00718120247213644*sqrt(39) + 0.000835577264272906*sqrt(51) + 0.0170093778677993*sqrt(11)),aF*((chi + 1.3228756555323)*(-0.0364681378419559*sqrt(11) - 0.000712543561950786*sqrt(51) + 0.0353770201716799*sqrt(39) + 0.475411884844748) + 0.247570195652581*sqrt(13)),aF*((chi + 1.3228756555323)*(-0.0212648021359741*sqrt(39) - 0.103279738948432 - 0.0259990344699498*sqrt(11) - 0.00115141425280003*sqrt(51)) - 0.128883504716248*sqrt(13)),aF*(chi + 1.3228756555323)*(0.000849887792524264*sqrt(51) + 0.014677520439243 + 0.00500334611738874*sqrt(39) + 0.0150479266808071*sqrt(11)),0,aF*(chi + 1.3228756555323)*(-0.00572408182494449*sqrt(95) - 0.000143762592244642*sqrt(595) + 0.00039632171672755*sqrt(255255)),aF*(chi + 1.3228756555323)*(0.00133843305441464*sqrt(595) + 9.09437141469499e-5*sqrt(255255) + 0.00652887506853925*sqrt(95)),aF*((chi + 1.3228756555323)*(-0.000146414277629718*sqrt(255255) - 0.000384883554465052*sqrt(595) + 0.00099700074230853*sqrt(95)) - 0.0133916928827875*sqrt(1785)),aF*((chi + 1.3228756555323)*(-0.0100472230288689*sqrt(95) - 0.00235849204488599*sqrt(595) - 2.39702849722664e-5*sqrt(255255)) - 0.0062486592934984*sqrt(1785)),aF*(chi + 1.3228756555323)*(-2.09408315957411e-5*sqrt(255255) + 0.0008910546619704*sqrt(595) + 0.00531669704839263*sqrt(95)),aF*(chi + 1.3228756555323)*(-1.77016449979514e-5*sqrt(255255) - 0.000365405184350736*sqrt(595) + 0.00915219984330476*sqrt(95)),0,0,0,0,0,0,0,0,0,0
0,0.000475419178093674*sqrt(858)*aF*(chi + 1.3228756555323),0.0111572881837204*sqrt(858)*aF*(chi + 1.3228756555323),aF*(0.00222774824923547*sqrt(858)*(chi + 1.3228756555323) + 0.00416363849228612*sqrt(6)),aF*(-0.00518623211717458*sqrt(858)*(chi + 1.3228756555323) - 0.15835614014523*sqrt(6)),aF*(0.000358766390801596*sqrt(858)*(chi + 1.3228756555323) - 0.0659240987555157*sqrt(6)),0.002743908473474*sqrt(858)*aF*(chi + 1.3228756555323),0.00976800847456338*sqrt(858)*aF*(chi + 1.3228756555323),-0.00118820881846034*sqrt(858)*aF*(chi + 1.3228756555323),-0.00188635276979185*sqrt(858)*aF*(chi + 1.3228756555323),aF*(chi + 1.3228756555323)*(-0.401007350975005 - 0.00201952446974652*sqrt(51) + 0.00418181397482348*sqrt(39) + 0.0396126284562082*sqrt(11)),aF*((chi + 1.3228756555323)*(-0.00668796942635288*sqrt(11) - 0.00344263672384019*sqrt(39) + 0.000357230827037452*sqrt(51) + 0.046310966352963) + 0.0769082468876419*sqrt(13)),aF*((chi + 1.3228756555323)*(-0.0242509935967458*sqrt(11) + 0.00271945954855213*sqrt(51) + 0.0118112291819529*sqrt(39) + 0.492260945957956) + 0.412328547692339*sqrt(13)),aF*(chi + 1.3228756555323)*(-0.00947385858948732*sqrt(11) + 0.00292545108173671*sqrt(39) + 0.00274759657648802*sqrt(51) + 0.322662817422734),0,aF*(chi + 1.3228756555323)*(-0.000383012031171633*sqrt(95) - 1.51440990329315e-6*sqrt(255255) + 0.000347462868230246*sqrt(595)),aF*(chi + 1.3228756555323)*(-0.00323488732889353*sqrt(595) - 0.00307302045443187*sqrt(95) + 0.000393129156162222*sqrt(255255)),aF*((chi + 1.3228756555323)*(0.000297010962572121*sqrt(595) + 0.00164213807838064*sqrt(95) + 4.38972100871098e-5*sqrt(255255)) - 0.00210699157563066*sqrt(1785)),aF*((chi + 1.3228756555323)*(-0.00108175992993321*sqrt(595) + 0.00439722156553476*sqrt(95) + 0.000101274077012161*sqrt(255255)) - 0.0106071911068937*sqrt(1785)),aF*(chi + 1.3228756555323)*(1.31839099783355e-5*sqrt(255255) + 0.00310866703333411*sqrt(95) + 0.00288068467417558*sqrt(595)),aF*(chi + 1.3228756555323)*(-0.00285033150965344*sqrt(95) - 8.76391523034137e-6*sqrt(255255) + 0.00088315556528538*sqrt(595)),0,0,0,0,0,0,0,0,0,0
0,0,0,0.00611443994718555*sqrt(858)*aF*(chi + 1.3228756555323),0.00761542178002831*sqrt(858)*aF*(chi + 1.3228756555323),0.00274390769787991*sqrt(858)*aF*(chi + 1.3228756555323),aF*(0.00518091210342646*sqrt(858)*(chi + 1.3228756555323) - 0.26549811559796*sqrt(6)),aF*(0.00325671817579179*sqrt(858)*(chi + 1.3228756555323) - 0.0958271544334674*sqrt(6)),0,0.0039229824579536*sqrt(858)*aF*(chi + 1.3228756555323),0,aF*(chi + 1.3228756555323)*(-0.325578945274553 - 0.00117408888437523*sqrt(39) + 0.00105149837164874*sqrt(51) + 0.0611937044358386*sqrt(11)),aF*(chi + 1.3228756555323)*(-0.057648535028729 - 0.001448911629412*sqrt(39) + 4.88552113026245e-5*sqrt(51) + 0.00750321237140984*sqrt(11)),aF*((chi + 1.3228756555323)*(-0.0406541409563869*sqrt(11) - 0.0723073759351801 - 0.00369908011170497*sqrt(51) - 0.00299949889595822*sqrt(39)) - 0.041996895458267*sqrt(13)),0,0,0,aF*(chi + 1.3228756555323)*(0.00108192742330532*sqrt(95) + 0.000487813867762471*sqrt(595) + 0.000642888590235272*sqrt(255255)),aF*(chi + 1.3228756555323)*(-0.000108088037865688*sqrt(255255) - 2.59066532530951e-5*sqrt(95) + 0.00522467049762439*sqrt(595)),aF*((chi + 1.3228756555323)*(-0.00387825617396735*sqrt(595) - 7.14989477681552e-5*sqrt(255255) - 0.00318735233434561*sqrt(95)) - 0.0147861210118392*sqrt(1785)),0,0,0,0,0,0,0,0,0,0,0
0,0,0,-0.000736443400289036*sqrt(858)*aF*(chi + 1.3228756555323),0.000844000195475788*sqrt(858)*aF*(chi + 1.3228756555323),0.00976800777486951*sqrt(858)*aF*(chi + 1.3228756555323),aF*(0.00325671617727063*sqrt(858)*(chi + 1.3228756555323) - 0.0958271544334674*sqrt(6)),aF*(-0.00469251238940153*sqrt(858)*(chi + 1.3228756555323) - 0.578859745222165*sqrt(6)),0,-0.00136120971822542*sqrt(858)*aF*(chi + 1.3228756555323),0,aF*(chi + 1.3228756555323)*(-0.00718214842209446*sqrt(11) - 0.0164133459442872 - 0.000838411279379926*sqrt(51) + 0.00093615855233108*sqrt(39)),aF*(chi + 1.3228756555323)*(-0.43238811583061 - 3.89546587203783e-5*sqrt(51) + 0.0011552881826045*sqrt(39) + 0.0661319292998449*sqrt(11)),aF*((chi + 1.3228756555323)*(-0.239066163226147 + 0.00239164732885888*sqrt(39) + 0.00294945819470983*sqrt(51) + 0.0771478231524263*sqrt(11)) + 0.23761109801538*sqrt(13)),0,0,0,aF*(chi + 1.3228756555323)*(-3.45197394363897e-5*sqrt(255255) - 0.00038895794800777*sqrt(595) - 0.000862673707082901*sqrt(95)),aF*(chi + 1.3228756555323)*(-0.00416588631457734*sqrt(595) + 2.06566430599217e-5*sqrt(95) + 0.000358400350435141*sqrt(255255)),aF*((chi + 1.3228756555323)*(0.0025414320728178*sqrt(95) + 0.00309232406654195*sqrt(595) + 0.000617258539148959*sqrt(255255)) + 0.000711274786768547*sqrt(1785)),0,0,0,0,0,0,0,0,0,0,0
0,-0.00236467728154759*sqrt(858)*aF*(chi + 1.3228756555323),-0.00713079681740786*sqrt(858)*aF*(chi + 1.3228756555323),0.00426991914216902*sqrt(858)*aF*(chi + 1.3228756555323),0.00120681310341909*sqrt(858)*aF*(chi + 1.3228756555323),-0.00118820899268957*sqrt(858)*aF*(chi + 1.3228756555323),0,0,aF*(0.0265810028658608*sqrt(858)*(chi + 1.3228756555323) - 0.550488223602551*sqrt(6)),0.0070206220372549*sqrt(858)*aF*(chi + 1.3228756555323),aF*(chi + 1.3228756555323)*(-0.127275341682361 - 0.0249437220964736*sqrt(11) - 0.00993542925817755*sqrt(39) - 0.00245054083033239*sqrt(51)),aF*(chi + 1.3228756555323)*(-0.0138745651108443*sqrt(39) + 0.000234651684371263*sqrt(11) + 0.00127903840026843 + 0.0013811940360371*sqrt(51)),aF*(chi + 1.3228756555323)*(-0.0190535447504334*sqrt(39) - 0.0275282554315155 + 0.00334389280212734*sqrt(51) + 0.0234331265040563*sqrt(11)),0,0,aF*(chi + 1.3228756555323)*(0.00042162001915703*sqrt(595) + 0.000129016688409019*sqrt(255255) + 0.00710042415325017*sqrt(95)),aF*(chi + 1.3228756555323)*(-0.000272668580825553*sqrt(255255) - 0.00392529211689792*sqrt(595) + 0.00608687645695392*sqrt(95)),aF*(chi + 1.3228756555323)*(-0.0136193890486871*sqrt(95) - 1.32687998522547e-6*sqrt(255255) + 0.000800069785756388*sqrt(595)),aF*(chi + 1.3228756555323)*(-0.0078819079698258*sqrt(95) - 3.3943812699034e-5*sqrt(255255) + 0.00339639040288536*sqrt(595)),0,aF*((chi + 1.3228756555323)*(-0.00033011016181774*sqrt(255255) + 0.0026421927656517*sqrt(95) + 0.00107164275783137*sqrt(595)) + 0.0152783081992447*sqrt(1785)),0,0,0,0,0,0,0,0,0,0
0,0,0,-0.00360629155881341*sqrt(858)*aF*(chi + 1.3228756555323),-0.0028078006363922*sqrt(858)*aF*(chi + 1.3228756555323),-0.00188635144334462*sqrt(858)*aF*(chi + 1.3228756555323),0.00392298125818589*sqrt(858)*aF*(chi + 1.3228756555323),-0.00136120953035957*sqrt(858)*aF*(chi + 1.3228756555323),0.00702062347979156*sqrt(858)*aF*(chi + 1.3228756555323),aF*(0.0256235836666171*sqrt(858)*(chi + 1.3228756555323) + 0.144865331302871*sqrt(6)),0,aF*(chi + 1.3228756555323)*(-0.101629763567385 - 0.00842784597731739*sqrt(39) - 0.00609296311598799*sqrt(11) - 0.000838652215266527*sqrt(51)),aF*(chi + 1.3228756555323)*(-0.0104005788743382*sqrt(39) - 0.014079094685427*sqrt(11) - 3.89658531967253e-5*sqrt(51) + 0.0034487677750544),aF*(chi + 1.3228756555323)*(-0.0215310059065259*sqrt(39) - 0.0108163661240153 + 0.00295030578627093*sqrt(51) + 0.0127189148517346*sqrt(11)),0,0,0,aF*(chi + 1.3228756555323)*(-7.21552533251535e-5*sqrt(255255) - 0.000389069723612844*sqrt(595) + 0.00776629248739143*sqrt(95)),aF*(chi + 1.3228756555323)*(-0.00416708347346268*sqrt(595) - 5.8016995653962e-5*sqrt(255255) - 0.000185963163701221*sqrt(95)),aF*(chi + 1.3228756555323)*(-0.0228794556415567*sqrt(95) - 1.76997597670807e-5*sqrt(255255) + 0.00309321271374763*sqrt(595)),0.000617028474175384*sqrt(255255)*aF*(chi + 1.3228756555323),0,0,0,0,0,0,0,0,0,0
