aF*(0.0175077450565189*sqrt(858)*(chi + 1.3228756555323) - 0.278938721542859*sqrt(39)),-0.00300064417364818*sqrt(858)*aF*(chi + 1.3228756555323),0.0116138405658662*sqrt(858)*aF*(chi + 1.3228756555323),0,0,0,0,0,0,0.0859631262841038*sqrt(13)*aF*(chi + 1.3228756555323),0,0,aF*((-0.0457825840602586*sqrt(22) - 0.0110913418605716*sqrt(143))*(chi + 1.3228756555323) + 1.51645089549151),aF*(0.00344467154401182*sqrt(22) + 0.00457224689218152*sqrt(143))*(chi + 1.3228756555323),aF*(-0.00644133118259305*sqrt(22) + 0.0102823411581894*sqrt(143))*(chi + 1.3228756555323),0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.00300064283511099*sqrt(858)*aF*(chi + 1.3228756555323),aF*(0.0185704236494194*sqrt(858)*(chi + 1.3228756555323) + 0.215026390372335*sqrt(39)),aF*(-0.00404136803688972*sqrt(858)*(chi + 1.3228756555323) - 0.0608693173038064*sqrt(39)),-0.00116138473001879*sqrt(858)*aF*(chi + 1.3228756555323),0.00934253873601928*sqrt(858)*aF*(chi + 1.3228756555323),0.000243564906817188*sqrt(858)*aF*(chi + 1.3228756555323),0,-0.00237139833531464*sqrt(858)*aF*(chi + 1.3228756555323),0,aF*((-0.0481043167340804*sqrt(13) - 0.000273610499050126*sqrt(3003))*(chi + 1.3228756555323) - 0.0244895958447048*sqrt(286)),aF*(3.34211200564922e-6*sqrt(3003) + 0.0605901029800405*sqrt(13))*(chi + 1.3228756555323),aF*(-0.000134571354142767*sqrt(3003) + 0.00611432752528234*sqrt(13))*(chi + 1.3228756555323),aF*(0.0148045492948862*sqrt(22) + 0.0081508733674742*sqrt(143))*(chi + 1.3228756555323),aF*((-0.0421319107020857*sqrt(22) - 0.00918672792103576*sqrt(143))*(chi + 1.3228756555323) - 1.10395927639031),aF*((-0.00836061327974701*sqrt(143) + 0.00389500896780752*sqrt(22))*(chi + 1.3228756555323) - 0.163664918444665),aF*(-0.00163762115370057*sqrt(22) + 0.00842135809358267*sqrt(143))*(chi + 1.3228756555323),aF*(-0.00164679541808685*sqrt(22) + 0.000929814780485161*sqrt(143))*(chi + 1.3228756555323),0,aF*(0.00202414941793762*sqrt(22) + 0.00163113000142921*sqrt(143))*(chi + 1.3228756555323),0,0,0,0,0,0,0,0,0,0
0.0116138395798234*sqrt(858)*aF*(chi + 1.3228756555323),aF*(-0.00404136554308296*sqrt(858)*(chi + 1.3228756555323) - 0.0608693173038064*sqrt(39)),aF*(0.00594330300545364*sqrt(858)*(chi + 1.3228756555323) + 0.0887068621708108*sqrt(39)),0.00416318224915292*sqrt(858)*aF*(chi + 1.3228756555323),-0.000584529660842626*sqrt(858)*aF*(chi + 1.3228756555323),0.00795851463437481*sqrt(858)*aF*(chi + 1.3228756555323),0,-0.00650668415789842*sqrt(858)*aF*(chi + 1.3228756555323),0,aF*((-0.0159604206895049*sqrt(13) + 0.00806105793405881*sqrt(3003))*(chi + 1.3228756555323) + 0.0819587816074783*sqrt(286)),aF*(-0.00470408160714194*sqrt(13) - 9.84646371143681e-5*sqrt(3003))*(chi + 1.3228756555323),aF*(0.0397146044734794*sqrt(13) + 0.0039647143869682*sqrt(3003))*(chi + 1.3228756555323),aF*(-0.0056850026564529*sqrt(143) + 0.0395864480803531*sqrt(22))*(chi + 1.3228756555323),aF*((-4.17782944831298e-5*sqrt(22) + 0.000811807124547688*sqrt(143))*(chi + 1.3228756555323) - 0.11401038410406),aF*((-0.0305165203658403*sqrt(22) + 0.00146030681407026*sqrt(143))*(chi + 1.3228756555323) - 0.943303694149369),aF*(0.00383900569565334*sqrt(22) + 0.00468751545563974*sqrt(143))*(chi + 1.3228756555323),aF*(0.0145830616581717*sqrt(22) + 0.0063040519763504*sqrt(143))*(chi + 1.3228756555323),0,aF*(-0.00354580911935028*sqrt(143) + 0.0052101900161014*sqrt(22))*(chi + 1.3228756555323),0,0,0,0,0,0,0,0,0,0
0,-0.00116138443564118*sqrt(858)*aF*(chi + 1.3228756555323),0.00416318248692052*sqrt(858)*aF*(chi + 1.3228756555323),aF*(0.0229749486265405*sqrt(858)*(chi + 1.3228756555323) + 0.143468219900181*sqrt(39)),aF*(-0.0132017312684207*sqrt(858)*(chi + 1.3228756555323) - 0.106324653918611*sqrt(39)),aF*(0.00134713550834703*sqrt(858)*(chi + 1.3228756555323) + 0.000757923841235006*sqrt(39)),0.00546867880594106*sqrt(858)*aF*(chi + 1.3228756555323),0.0039835441497993*sqrt(858)*aF*(chi + 1.3228756555323),-0.0038270935829066*sqrt(858)*aF*(chi + 1.3228756555323),aF*(0.000707508643377852*sqrt(3003) + 0.03432253892491*sqrt(13))*(chi + 1.3228756555323),aF*((-0.118451105658309*sqrt(13) - 0.00149507505578248*sqrt(3003))*(chi + 1.3228756555323) - 0.0427432259229104*sqrt(286)),aF*((0.000562057528538287*sqrt(3003) + 0.0136871046339719*sqrt(13))*(chi + 1.3228756555323) + 0.000379961114629826*sqrt(286)),0,aF*(0.0197693337876343*sqrt(22) + 0.00802367526779989*sqrt(143))*(chi + 1.3228756555323),aF*(-0.00395263100842216*sqrt(143) + 0.0333483415557841*sqrt(22))*(chi + 1.3228756555323),aF*((-0.0279062699562661*sqrt(22) - 0.00966317218766511*sqrt(143))*(chi + 1.3228756555323) - 0.703122665653945),aF*((-0.00653592197617929*sqrt(22) + 0.00789479325470197*sqrt(143))*(chi + 1.3228756555323) + 0.0777339447478407),aF*(-0.00260801912171316*sqrt(22) + 0.0047316199153269*sqrt(143))*(chi + 1.3228756555323),aF*(-0.0078350537751882*sqrt(143) - 0.00628689920886129*sqrt(22))*(chi + 1.3228756555323),0,0,0,0,0,0,0,0,0,0
0,0.00934253684274278*sqrt(858)*aF*(chi + 1.3228756555323),-0.000584530840089195*sqrt(858)*aF*(chi + 1.3228756555323),aF*(-0.0132017323188782*sqrt(858)*(chi + 1.3228756555323) - 0.106324653918611*sqrt(39)),aF*(0.0120542002048576*sqrt(858)*(chi + 1.3228756555323) + 0.0720303545560633*sqrt(39)),aF*(-0.000795377815022615*sqrt(858)*(chi + 1.3228756555323) - 0.0387498196124223*sqrt(39)),0.00869486070698808*sqrt(858)*aF*(chi + 1.3228756555323),0.00144972172312473*sqrt(858)*aF*(chi + 1.3228756555323),-0.00232031995351182*sqrt(858)*aF*(chi + 1.3228756555323),aF*(-0.00157124648151425*sqrt(3003) - 0.00464900505991622*sqrt(13))*(chi + 1.3228756555323),aF*((0.0236123315640932*sqrt(13) + 0.00908881509966741*sqrt(3003))*(chi + 1.3228756555323) + 0.0570957613011635*sqrt(286)),aF*((-0.0404854110914987*sqrt(13) - 0.00207902376195886*sqrt(3003))*(chi + 1.3228756555323) - 0.0283117823639938*sqrt(286)),0,aF*(-0.00481256980666048*sqrt(143) + 0.0393786330132696*sqrt(22))*(chi + 1.3228756555323),aF*(0.00510572536155322*sqrt(143) + 0.015969380936156*sqrt(22))*(chi + 1.3228756555323),aF*((-0.00891640483001374*sqrt(22) + 0.00129357396729173*sqrt(143))*(chi + 1.3228756555323) - 0.524440881645143),aF*((-0.0229760896657753*sqrt(22) - 0.00822946290944118*sqrt(143))*(chi + 1.3228756555323) - 0.315556235055362),aF*(0.00646833744592028*sqrt(22) + 0.00519463249111443*sqrt(143))*(chi + 1.3228756555323),aF*(-0.00539087975544586*sqrt(22) + 0.00772015796027805*sqrt(143))*(chi + 1.3228756555323),0,0,0,0,0,0,0,0,0,0
0,0.00024356664955005*sqrt(858)*aF*(chi + 1.3228756555323),0.00795851221340974*sqrt(858)*aF*(chi + 1.3228756555323),aF*(0.0013471348659405*sqrt(858)*(chi + 1.3228756555323) + 0.000757923841235006*sqrt(39)),aF*(-0.00079537598479171*sqrt(858)*(chi + 1.3228756555323) - 0.0387498196124223*sqrt(39)),aF*(-0.0049005490205941*sqrt(858)*(chi + 1.3228756555323) - 0.215498574456244*sqrt(39)),0.00473306367147794*sqrt(858)*aF*(chi + 1.3228756555323),-0.000549901002751283*sqrt(858)*aF*(chi + 1.3228756555323),-0.00131405986657247*sqrt(858)*aF*(chi + 1.3228756555323),aF*(-0.00590416861427608*sqrt(3003) + 0.0457937301356899*sqrt(13))*(chi + 1.3228756555323),aF*((-0.000513645259295032*sqrt(3003) - 0.0053057498099323*sqrt(13))*(chi + 1.3228756555323) + 0.00919202198717053*sqrt(286)),aF*((-0.00281951654854375*sqrt(3003) + 0.0846084233285908*sqrt(13))*(chi + 1.3228756555323) + 0.0739594401102465*sqrt(286)),0,aF*(-0.000184631078430787*sqrt(143) + 0.000918994379149443*sqrt(22))*(chi + 1.3228756555323),aF*(-0.0012788595823498*sqrt(143) + 0.0135570776043197*sqrt(22))*(chi + 1.3228756555323),aF*((0.000318753881909271*sqrt(143) + 0.00807941480516025*sqrt(22))*(chi + 1.3228756555323) - 0.0460065654208482),aF*((0.00248305751441685*sqrt(143) + 0.0183581461063608*sqrt(22))*(chi + 1.3228756555323) - 0.276737871359168),aF*(0.00248006072760156*sqrt(143) + 0.0697546121190407*sqrt(22))*(chi + 1.3228756555323),aF*(-0.00133265124205764*sqrt(143) + 0.00233036076502176*sqrt(22))*(chi + 1.3228756555323),0,0,0,0,0,0,0,0,0,0
0,0,0,0.00546867922069968*sqrt(858)*aF*(chi + 1.3228756555323),0.00869485943402074*sqrt(858)*aF*(chi + 1.3228756555323),0.00473306277966886*sqrt(858)*aF*(chi + 1.3228756555323),aF*(-0.0092870092478107*sqrt(858)*(chi + 1.3228756555323) - 0.154965958609349*sqrt(39)),0,0.00393646339104456*sqrt(858)*aF*(chi + 1.3228756555323),0,aF*(-0.00810545551821101*sqrt(3003) + 0.0791862928090132*sqrt(13))*(chi + 1.3228756555323),aF*(-0.0431492939433836*sqrt(13) + 0.00116736730855764*sqrt(3003))*(chi + 1.3228756555323),0,0,0,aF*(0.000915180390965667*sqrt(143) + 0.0640317146778029*sqrt(22))*(chi + 1.3228756555323),aF*(-0.000387773926119806*sqrt(143) + 0.0212138527917358*sqrt(22))*(chi + 1.3228756555323),aF*((-0.0535006375767321*sqrt(22) - 0.00280329874965869*sqrt(143))*(chi + 1.3228756555323) - 0.627181449171721),0,0,0,0,0,0,0,0,0,0,0
0,-0.00237139847393493*sqrt(858)*aF*(chi + 1.3228756555323),-0.00650668447128086*sqrt(858)*aF*(chi + 1.3228756555323),0.00398354399224966*sqrt(858)*aF*(chi + 1.3228756555323),0.00144972190617551*sqrt(858)*aF*(chi + 1.3228756555323),-0.000549899578707574*sqrt(858)*aF*(chi + 1.3228756555323),0,aF*(0.0163910175875478*sqrt(858)*(chi + 1.3228756555323) - 0.154965958609349*sqrt(39)),0.00743921688105968*sqrt(858)*aF*(chi + 1.3228756555323),aF*(-0.057126207844001*sqrt(13) - 0.0016108409391828*sqrt(3003))*(chi + 1.3228756555323),aF*(-0.0169317333554837*sqrt(13) + 1.96761851636688e-5*sqrt(3003))*(chi + 1.3228756555323),aF*(-0.000792268744244064*sqrt(3003) + 0.00243855072673007*sqrt(13))*(chi + 1.3228756555323),0,aF*(0.014441546090518*sqrt(22) + 0.00651387365135439*sqrt(143))*(chi + 1.3228756555323),aF*(-0.051659926522711*sqrt(22) + 0.00508822228996016*sqrt(143))*(chi + 1.3228756555323),aF*(-0.0122941657292137*sqrt(143) + 0.00525580813135743*sqrt(22))*(chi + 1.3228756555323),aF*(-0.00809342543518095*sqrt(143) + 0.0179837229447091*sqrt(22))*(chi + 1.3228756555323),0,aF*((-0.0273629185975139*sqrt(22) + 0.00280329686237956*sqrt(143))*(chi + 1.3228756555323) + 0.627181449171721),0,0,0,0,0,0,0,0,0,0
0,0,0,-0.0038270936593966*sqrt(858)*aF*(chi + 1.3228756555323),-0.00232031953209717*sqrt(858)*aF*(chi + 1.3228756555323),-0.00131405917842002*sqrt(858)*aF*(chi + 1.3228756555323),0.00393646359809887*sqrt(858)*aF*(chi + 1.3228756555323),0.00743921787933436*sqrt(858)*aF*(chi + 1.3228756555323),0.0146520132840684*sqrt(858)*aF*(chi + 1.3228756555323),0,aF*(-0.0314196988265779*sqrt(13) - 0.00159989987195302*sqrt(3003))*(chi + 1.3228756555323),aF*(-0.0356813288320516*sqrt(13) + 0.000230421449268003*sqrt(3003))*(chi + 1.3228756555323),0,0,0,aF*(-0.0109978466683048*sqrt(22) + 0.00695476384586666*sqrt(143))*(chi + 1.3228756555323),aF*(-0.0259558705170549*sqrt(22) - 0.0029468245914908*sqrt(143))*(chi + 1.3228756555323),aF*(-0.0213032108049405*sqrt(143) + 0.0201733043026171*sqrt(22))*(chi + 1.3228756555323),0.0645174718411338*sqrt(22)*aF*(chi + 1.3228756555323),0,0,0,0,0,0,0,0,0,0
0.0859631291747806*sqrt(13)*aF*(chi + 1.3228756555323),aF*((-0.0481043132779419*sqrt(13) - 0.000273611429057259*sqrt(3003))*(chi + 1.3228756555323) - 0.024489593775792*sqrt(286)),aF*((-0.0159604034150906*sqrt(13) + 0.00806105827156202*sqrt(3003))*(chi + 1.3228756555323) + 0.081958789604795*sqrt(286)),aF*(0.000707509241382864*sqrt(3003) + 0.0343225480784001*sqrt(13))*(chi + 1.3228756555323),aF*(-0.00157124602144287*sqrt(3003) - 0.00464900068128613*sqrt(13))*(chi + 1.3228756555323),aF*(-0.00590416811625004*sqrt(3003) + 0.0457937277195727*sqrt(13))*(chi + 1.3228756555323),0,aF*(-0.0571262020057375*sqrt(13) - 0.0016108405705994*sqrt(3003))*(chi + 1.3228756555323),0,aF*(-0.00147105624872298*sqrt(858)*(chi + 1.3228756555323) - 0.0334249352286536*sqrt(14)),3.48646237370479e-5*sqrt(858)*aF*(chi + 1.3228756555323),-0.00140384026430996*sqrt(858)*aF*(chi + 1.3228756555323),aF*(-0.132007999682069*sqrt(3) - 0.00123280491089666*sqrt(78))*(chi + 1.3228756555323),aF*((chi + 1.3228756555323)*(-5.98319652119971e-5*sqrt(858) + 0.000321654269930574*sqrt(78) + 0.000400120465343352*sqrt(182) + 0.0270762948678827*sqrt(3)) + 0.0322631885656975*sqrt(66)),aF*((chi + 1.3228756555323)*(-0.00477333116215853*sqrt(182) + 0.000761630006089459*sqrt(78) + 0.000713777870835916*sqrt(858) + 0.16943227566113*sqrt(3)) + 0.102224177789791*sqrt(66)),aF*(chi + 1.3228756555323)*(-0.00149698884657275*sqrt(858) + 0.000513996976454426*sqrt(78) + 0.00559138460759121*sqrt(3) + 0.000941795496111996*sqrt(182)),aF*(chi + 1.3228756555323)*(0.000628396465083357*sqrt(78) + 0.00417812744098351*sqrt(182) + 0.00195902819538118*sqrt(858) + 0.051543118887794*sqrt(3)),0,aF*(chi + 1.3228756555323)*(-0.00637921203441595*sqrt(3) - 0.000340426254740409*sqrt(78) + 0.00108901991787583*sqrt(182) + 0.00195415267882301*sqrt(858)),aF*((chi + 1.3228756555323)*(-0.000971981671893075*sqrt(23023) - 0.000577897817009819*sqrt(5083) + 0.000609671920922694*sqrt(897)) - 0.142489737714425*sqrt(69)),aF*(chi + 1.3228756555323)*(-0.000141444130191491*sqrt(23023) + 0.00236587840156893*sqrt(897) + 0.00119136703045422*sqrt(5083)),0,0,0,0,0,0,0,0
