0,0,0,0,0,0,0,aF*(-0.161976490483562*sqrt(15)*(chi + 1.3228756555323) + 0.707106781186548*sqrt(15)),0.0451478102855628*sqrt(15)*aF*(chi + 1.3228756555323),0.117641604268763*sqrt(15)*aF*(chi + 1.3228756555323),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.056196827385165*sqrt(15)*aF*(chi + 1.3228756555323),aF*(-0.146721148198447*sqrt(15)*(chi + 1.3228756555323) - 0.548113415686611*sqrt(15)),aF*(-0.0341108940997585*sqrt(15)*(chi + 1.3228756555323) - 0.127429689102968*sqrt(15)),0.0490483004790112*sqrt(15)*aF*(chi + 1.3228756555323),0.108866013730827*sqrt(15)*aF*(chi + 1.3228756555323),0,0.0312339691077218*sqrt(15)*aF*(chi + 1.3228756555323),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.0625628720268056*sqrt(15)*aF*(chi + 1.3228756555323),0.0691786998492934*sqrt(15)*aF*(chi + 1.3228756555323),aF*(-0.0910047992674567*sqrt(15)*(chi + 1.3228756555323) - 0.388945912535471*sqrt(15)),aF*(-0.0516456153370004*sqrt(15)*(chi + 1.3228756555323) - 0.220728486327982*sqrt(15)),0.138013107937396*sqrt(15)*aF*(chi + 1.3228756555323),-0.0521640527719364*sqrt(15)*aF*(chi + 1.3228756555323),0.0188308886379851*sqrt(15)*aF*(chi + 1.3228756555323),-0.0335690239599249*sqrt(15)*aF*(chi + 1.3228756555323),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.081357886931075*sqrt(15)*aF*(chi + 1.3228756555323),0.098802078263*sqrt(15)*aF*(chi + 1.3228756555323),aF*(-0.175662006471796*sqrt(15)*(chi + 1.3228756555323) - 0.387298334620742*sqrt(15)),0,-0.0708385481129204*sqrt(15)*aF*(chi + 1.3228756555323),0.012272915401426*sqrt(15)*aF*(chi + 1.3228756555323),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.0450926336675186*sqrt(15)*aF*(chi + 1.3228756555323),-0.099027333357172*sqrt(15)*aF*(chi + 1.3228756555323),-0.0478285592138825*sqrt(15)*aF*(chi + 1.3228756555323),-0.00725022238577347*sqrt(15)*aF*(chi + 1.3228756555323),0,aF*(-0.0585539928828396*sqrt(15)*(chi + 1.3228756555323) + 0.387298334620742*sqrt(15)),0.0499928240360447*sqrt(15)*aF*(chi + 1.3228756555323),0.126334650492499*sqrt(15)*aF*(chi + 1.3228756555323),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.0430418861795184*sqrt(15)*aF*(chi + 1.3228756555323),-0.0758441496878099*sqrt(15)*aF*(chi + 1.3228756555323),-0.0371848852080222*sqrt(15)*aF*(chi + 1.3228756555323),0.0702728406992292*sqrt(15)*aF*(chi + 1.3228756555323),aF*(-0.0397194089204975*sqrt(15)*(chi + 1.3228756555323) - 0.22518782603443*sqrt(15)),aF*(-0.0222810143246393*sqrt(15)*(chi + 1.3228756555323) - 0.126321457198902*sqrt(15)),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088769663681835*sqrt(15)*aF*(chi + 1.3228756555323),-0.158245850338579*sqrt(15)*aF*(chi + 1.3228756555323),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aF*(-0.161976493873145*sqrt(15)*(chi + 1.3228756555323) + 0.707106788301739*sqrt(15)),0.0561968369615286*sqrt(15)*aF*(chi + 1.3228756555323),0,0,0,0,0,aF*(-0.0134238069226033*sqrt(858)*(chi + 1.3228756555323) + 0.054372514209847*sqrt(858)),0.00356153655757399*sqrt(858)*aF*(chi + 1.3228756555323),-0.00999070063730598*sqrt(858)*aF*(chi + 1.3228756555323),0,0,0,0,0,0,aF*(-0.00276006137423208*sqrt(1430) - 0.00292748757173006*sqrt(715))*(chi + 1.3228756555323),0,0,aF*((-0.0243315203123399*sqrt(130) - 0.00778124557353467*sqrt(715))*(chi + 1.3228756555323) + 0.0792608802971353*sqrt(715)),aF*(0.00100396112152924*sqrt(715) + 0.00786799360930665*sqrt(130))*(chi + 1.3228756555323),aF*(-0.00193414259050357*sqrt(715) + 0.0210385342971271*sqrt(130))*(chi + 1.3228756555323),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.045147819694112*sqrt(15)*aF*(chi + 1.3228756555323),aF*(-0.146721152679265*sqrt(15)*(chi + 1.3228756555323) - 0.548113450099995*sqrt(15)),0.062562879490301*sqrt(15)*aF*(chi + 1.3228756555323),0,0.0450926439296505*sqrt(15)*aF*(chi + 1.3228756555323),0,0,0.00356153591198369*sqrt(858)*aF*(chi + 1.3228756555323),aF*(-0.0128614394856727*sqrt(858)*(chi + 1.3228756555323) - 0.0422120972832852*sqrt(858)),aF*(0.00215598462799026*sqrt(858)*(chi + 1.3228756555323) + 0.0101926093541088*sqrt(858)),0.00338904414716634*sqrt(858)*aF*(chi + 1.3228756555323),-0.0093340863329313*sqrt(858)*aF*(chi + 1.3228756555323),0,0.00271365016693313*sqrt(858)*aF*(chi + 1.3228756555323),0,0,aF*((0.00102011322329389*sqrt(715) + 0.000961772432933169*sqrt(1430))*(chi + 1.3228756555323) + 0.0054346351838475*sqrt(1430)),aF*(-0.00241776153264761*sqrt(1430) - 0.00256442308175233*sqrt(715))*(chi + 1.3228756555323),0,aF*(0.00216887193782996*sqrt(715) + 0.0121472903260779*sqrt(130))*(chi + 1.3228756555323),aF*((chi + 1.3228756555323)*(-0.0209449783627607*sqrt(130) - 0.00739947064087782*sqrt(715) - 2.27551089537082e-6*sqrt(1430)) - 0.0602696268635971*sqrt(715)),aF*((chi + 1.3228756555323)*(-0.0105023698255961*sqrt(130) + 6.70404229397882e-5*sqrt(1430) + 0.000769667295368483*sqrt(715)) - 0.00921066828360545*sqrt(715)),aF*(chi + 1.3228756555323)*(5.88405606041165e-6*sqrt(1430) + 0.000575911553395794*sqrt(715) + 0.00936295539447779*sqrt(130)),aF*(chi + 1.3228756555323)*(-0.00136533506617318*sqrt(715) - 1.3067390691319e-5*sqrt(1430) + 0.0169464957714123*sqrt(130)),aF*(chi + 1.3228756555323)*(-0.000117276430791424*sqrt(715) - 4.91024769064616e-5*sqrt(1430) + 0.000786929581937683*sqrt(130)),0,aF*(chi + 1.3228756555323)*(-1.33966818627931e-5*sqrt(1430) + 0.000720837325962711*sqrt(715) + 0.00427071373960425*sqrt(130)),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.117641602852627*sqrt(15)*aF*(chi + 1.3228756555323),aF*(-0.0341108733467433*sqrt(15)*(chi + 1.3228756555323) - 0.12742962885457*sqrt(15)),0.0691786847167077*sqrt(15)*aF*(chi + 1.3228756555323),0,-0.0990273317299485*sqrt(15)*aF*(chi + 1.3228756555323),0,0,-0.00999070049150035*sqrt(858)*aF*(chi + 1.3228756555323),aF*(0.00215598537440268*sqrt(858)*(chi + 1.3228756555323) + 0.0101926093541088*sqrt(858)),aF*(0.00745237770111579*sqrt(858)*(chi + 1.3228756555323) + 0.0422120972832852*sqrt(858)),-0.00450355294894868*sqrt(858)*aF*(chi + 1.3228756555323),-0.0035269240590774*sqrt(858)*aF*(chi + 1.3228756555323),0,0.0060972510930658*sqrt(858)*aF*(chi + 1.3228756555323),0,0,aF*((-0.00249723245301121*sqrt(1430) - 0.00264871468327326*sqrt(715))*(chi + 1.3228756555323) - 0.0233759980034563*sqrt(1430)),aF*(0.000984159566320245*sqrt(715) + 0.00092787475247717*sqrt(1430))*(chi + 1.3228756555323),0,aF*(-0.0054062889688071*sqrt(130) + 0.0056514262012452*sqrt(715))*(chi + 1.3228756555323),aF*((chi + 1.3228756555323)*(-0.000527862986146462*sqrt(715) + 0.000405457836211454*sqrt(130) + 0.00027958099013842*sqrt(1430)) - 0.00306996028943524*sqrt(715)),aF*((chi + 1.3228756555323)*(-0.0082369316986944*sqrt(1430) + 4.59690821244347e-5*sqrt(130) + 0.00619232230361972*sqrt(715)) - 0.0387606900940866*sqrt(715)),aF*(chi + 1.3228756555323)*(-0.000722945437328602*sqrt(1430) + 4.73262794168893e-5*sqrt(715) + 0.00481622501262145*sqrt(130)),aF*(chi + 1.3228756555323)*(-0.000200576156793243*sqrt(715) + 0.0023784694735009*sqrt(130) + 0.00160552693262722*sqrt(1430)),aF*(chi + 1.3228756555323)*(0.00853988166045104*sqrt(130) + 0.00478958550173227*sqrt(715) + 0.00603298324771162*sqrt(1430)),0,aF*(chi + 1.3228756555323)*(-0.00708105323274456*sqrt(130) - 0.000276638847231846*sqrt(715) + 0.00164598534218785*sqrt(1430)),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
