-6.09548341055227e-10*sqrt(858)*aF*(chi + 1.3228756555323),1.78600547112023e-10*sqrt(858)*aF*(chi + 1.3228756555323),0,aF*(-0.00307346599132915*sqrt(10374) + 6.17790036226386e-5*sqrt(114114))*(chi + 1.3228756555323),aF*((chi + 1.3228756555323)*(-1.0386561497168e-5*sqrt(114114) - 0.000136967719412141*sqrt(494) + 0.000466910881489397*sqrt(10374)) + 0.00402285348228023*sqrt(5187)),aF*((chi + 1.3228756555323)*(-2.55672329696168e-5*sqrt(114114) + 0.00403529568779102*sqrt(494) + 0.00273957644226235*sqrt(10374)) + 0.0230435011035208*sqrt(5187)),aF*(chi + 1.3228756555323)*(-0.00396554235129821*sqrt(494) - 2.98110035273922e-5*sqrt(114114) + 4.08246296721693e-5*sqrt(10374)),aF*(chi + 1.3228756555323)*(-0.00260730753980956*sqrt(494) - 0.000161413212872864*sqrt(10374) - 1.58163858383598e-5*sqrt(114114)),aF*(chi + 1.3228756555323)*(-5.14548156608629e-5*sqrt(114114) + 0.00258842252208833*sqrt(494) + 0.00350124547432565*sqrt(10374)),0,aF*(chi + 1.3228756555323)*(-0.000194519212272*sqrt(10374) + 4.22278004365182e-5*sqrt(114114) + 0.00524142337591005*sqrt(494)),0,aF*((-0.000675447833433946*sqrt(16302) - 0.00761523962660083*sqrt(57))*(chi + 1.3228756555323) - 0.00723845046766005*sqrt(19019)),aF*(0.00388302716225601*sqrt(57) + 0.000344412411811124*sqrt(16302))*(chi + 1.3228756555323),aF*(0.0126895272547653*sqrt(57) + 0.00112552117495453*sqrt(16302))*(chi + 1.3228756555323),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.14151568873888e-10*sqrt(858)*aF*(chi + 1.3228756555323),-3.4281075975964e-10*sqrt(858)*aF*(chi + 1.3228756555323),1.10357927440505e-10*sqrt(858)*aF*(chi + 1.3228756555323),0,aF*(chi + 1.3228756555323)*(-0.00291023134411831*sqrt(10374) + 0.000127510039956447*sqrt(494) + 5.9430017437402e-5*sqrt(114114)),aF*(chi + 1.3228756555323)*(-0.00375665679909614*sqrt(494) - 0.000517511590326836*sqrt(10374) - 1.7060940023758e-5*sqrt(114114)),aF*((chi + 1.3228756555323)*(1.34570027116743e-5*sqrt(114114) + 0.00064753001179895*sqrt(10374) + 0.00362117001180725*sqrt(494)) + 0.00746310214044729*sqrt(5187)),aF*((chi + 1.3228756555323)*(-4.59347074045087e-5*sqrt(114114) + 0.00284221781096353*sqrt(494) + 0.00331892737750558*sqrt(10374)) + 0.0155796125387849*sqrt(5187)),aF*((chi + 1.3228756555323)*(-0.000910846596163133*sqrt(10374) - 0.00113072970901366*sqrt(494) + 1.00424206605078e-5*sqrt(114114)) - 0.00611857874253257*sqrt(5187)),aF*(chi + 1.3228756555323)*(-0.00173787666978127*sqrt(494) - 7.17844275952143e-5*sqrt(114114) + 0.0029391701281026*sqrt(10374)),aF*(chi + 1.3228756555323)*(-0.00487950085581773*sqrt(494) - 4.2251946624822e-5*sqrt(114114) + 0.000327350459377768*sqrt(10374)),aF*(chi + 1.3228756555323)*(-0.000245063264445273*sqrt(10374) + 1.18222929067349e-5*sqrt(114114) + 0.000943337065215202*sqrt(494)),aF*(0.00708940408173079*sqrt(57) + 0.000628808076543496*sqrt(16302))*(chi + 1.3228756555323),aF*((-0.00043948892357615*sqrt(16302) - 0.00495495306887416*sqrt(57))*(chi + 1.3228756555323) - 0.00457799728802967*sqrt(19019)),aF*((-0.000841934964245287*sqrt(16302) - 0.00949227576694344*sqrt(57))*(chi + 1.3228756555323) - 0.00264310822945774*sqrt(19019)),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-1.63499984167856e-10*sqrt(858)*aF*(chi + 1.3228756555323),3.91682513679881e-10*sqrt(858)*aF*(chi + 1.3228756555323),0,0,0,aF*(chi + 1.3228756555323)*(-2.158545149689e-5*sqrt(114114) + 0.000342523018965147*sqrt(494) + 0.00119843657115638*sqrt(10374)),aF*(chi + 1.3228756555323)*(-0.000710358279766158*sqrt(10374) - 0.0020145804380421*sqrt(494) - 4.49009319537656e-7*sqrt(114114)),aF*(chi + 1.3228756555323)*(-0.00620941103937943*sqrt(494) - 4.62394858179483e-5*sqrt(114114) + 4.20440463102638e-5*sqrt(10374)),aF*(chi + 1.3228756555323)*(-0.000313130262957677*sqrt(10374) + 6.79768711470286e-5*sqrt(114114) + 0.00843746560706614*sqrt(494)),aF*(-0.00355056364639354*sqrt(10374) + 7.13690188755318e-5*sqrt(114114))*(chi + 1.3228756555323),aF*((chi + 1.3228756555323)*(-0.00457994182327434*sqrt(494) - 0.000139394478093851*sqrt(114114) + 0.00526907850846196*sqrt(10374)) + 0.0097130058083549*sqrt(5187)),0,aF*(0.00650600295763896*sqrt(57) + 0.000577061822387886*sqrt(16302))*(chi + 1.3228756555323),aF*(-0.000999500514803434*sqrt(16302) - 0.0112687204586233*sqrt(57))*(chi + 1.3228756555323),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aF*(-0.0030734659882891*sqrt(10374) + 6.17790039458908e-5*sqrt(114114))*(chi + 1.3228756555323),0,0,aF*(-0.00517274285760785*sqrt(858)*(chi + 1.3228756555323) + 0.0824137131831174*sqrt(39)),0.000886553960396053*sqrt(858)*aF*(chi + 1.3228756555323),-0.00343136198536955*sqrt(858)*aF*(chi + 1.3228756555323),0,0,0,0,0,0,0.00260494322073042*sqrt(6006)*aF*(chi + 1.3228756555323),0,0,aF*((-0.0499446371566458*sqrt(33) - 0.00604982283303908*sqrt(858))*(chi + 1.3228756555323) + 0.827155033904462*sqrt(6)),aF*(0.00375782350255835*sqrt(33) + 0.00249395285028083*sqrt(858))*(chi + 1.3228756555323),aF*(-0.00702690674464696*sqrt(33) + 0.00560854972264879*sqrt(858))*(chi + 1.3228756555323),0,0,0,0,0,0,0,0,0,0,0,0,0,0
aF*((chi + 1.3228756555323)*(-1.0386550449099e-5*sqrt(114114) - 0.000136966851152482*sqrt(494) + 0.000466910146417583*sqrt(10374)) + 0.00402285571123037*sqrt(5187)),aF*(chi + 1.3228756555323)*(-0.00291023109502734*sqrt(10374) + 0.000127509240177319*sqrt(494) + 5.94300150889464e-5*sqrt(114114)),0,0.000886553564919157*sqrt(858)*aF*(chi + 1.3228756555323),aF*(-0.00548671607823754*sqrt(858)*(chi + 1.3228756555323) - 0.0635305244281898*sqrt(39)),aF*(0.00119404055635378*sqrt(858)*(chi + 1.3228756555323) + 0.0179841164761246*sqrt(39)),0.000343136397505552*sqrt(858)*aF*(chi + 1.3228756555323),-0.00276029553564206*sqrt(858)*aF*(chi + 1.3228756555323),-7.1962358832351e-5*sqrt(858)*aF*(chi + 1.3228756555323),0,0.000700640417252054*sqrt(858)*aF*(chi + 1.3228756555323),0,aF*((-0.00145770656769941*sqrt(6006) - 0.00191527349335088*sqrt(26))*(chi + 1.3228756555323) - 0.0163263972298032*sqrt(273)),aF*(2.33947840395445e-5*sqrt(26) + 0.00183606372666789*sqrt(6006))*(chi + 1.3228756555323),aF*(-0.000941999478999366*sqrt(26) + 0.000185282652281283*sqrt(6006))*(chi + 1.3228756555323),aF*(0.0161504174126031*sqrt(33) + 0.0044459309277132*sqrt(858))*(chi + 1.3228756555323),aF*((-0.0459620844022753*sqrt(33) - 0.00501094250238314*sqrt(858))*(chi + 1.3228756555323) - 0.602159605303804*sqrt(6)),aF*((-0.00456033451622564*sqrt(858) + 0.00424910069215366*sqrt(33))*(chi + 1.3228756555323) - 0.0892717736970901*sqrt(6)),aF*(-0.00178649580403698*sqrt(33) + 0.00459346805104509*sqrt(858))*(chi + 1.3228756555323),aF*(-0.00179650409245838*sqrt(33) + 0.000507171698446451*sqrt(858))*(chi + 1.3228756555323),0,aF*(0.0022081630013865*sqrt(33) + 0.000889707273506841*sqrt(858))*(chi + 1.3228756555323),0,0,0,0,0,0,0,0,0,0
aF*((chi + 1.3228756555323)*(-2.55672230277467e-5*sqrt(114114) + 0.00403529508853263*sqrt(494) + 0.00273957697859618*sqrt(10374)) + 0.0230434997368942*sqrt(5187)),aF*(chi + 1.3228756555323)*(-0.00375665649243289*sqrt(494) - 0.000517511807468922*sqrt(10374) - 1.70609375569478e-5*sqrt(114114)),0,-0.00343136169403874*sqrt(858)*aF*(chi + 1.3228756555323),aF*(0.00119403981954724*sqrt(858)*(chi + 1.3228756555323) + 0.0179841164761246*sqrt(39)),aF*(-0.00175597588797494*sqrt(858)*(chi + 1.3228756555323) - 0.0262088456413759*sqrt(39)),-0.00123003111906791*sqrt(858)*aF*(chi + 1.3228756555323),0.000172701945248958*sqrt(858)*aF*(chi + 1.3228756555323),-0.00235137932379256*sqrt(858)*aF*(chi + 1.3228756555323),0,0.00192242941028817*sqrt(858)*aF*(chi + 1.3228756555323),0,aF*((-0.00048364911180318*sqrt(6006) + 0.0564274055384117*sqrt(26))*(chi + 1.3228756555323) + 0.0546391877383189*sqrt(273)),aF*(-0.00014254792748915*sqrt(6006) - 0.000689252459800577*sqrt(26))*(chi + 1.3228756555323),aF*(0.00120347286283271*sqrt(6006) + 0.0277530007087774*sqrt(26))*(chi + 1.3228756555323),aF*(-0.0031009105398834*sqrt(858) + 0.0431852160876579*sqrt(33))*(chi + 1.3228756555323),aF*((-4.55763212543227e-5*sqrt(33) + 0.000442803886116921*sqrt(858))*(chi + 1.3228756555323) - 0.0621874822385783*sqrt(6)),aF*((-0.0332907494900076*sqrt(33) + 0.000796530989492871*sqrt(858))*(chi + 1.3228756555323) - 0.514529287717837*sqrt(6)),aF*(0.00418800621344001*sqrt(33) + 0.00255682661216713*sqrt(858))*(chi + 1.3228756555323),aF*(0.0159087945361873*sqrt(33) + 0.00343857380528204*sqrt(858))*(chi + 1.3228756555323),0,aF*(-0.00193407770146379*sqrt(858) + 0.0056838436539288*sqrt(33))*(chi + 1.3228756555323),0,0,0,0,0,0,0,0,0,0
aF*(chi + 1.3228756555323)*(-0.00396554257274202*sqrt(494) - 2.98110155082738e-5*sqrt(114114) + 4.08248773755642e-5*sqrt(10374)),aF*((chi + 1.3228756555323)*(1.34569946477173e-5*sqrt(114114) + 0.000647529967845091*sqrt(10374) + 0.00362117052429948*sqrt(494)) + 0.00746310171031208*sqrt(5187)),aF*(chi + 1.3228756555323)*(-2.15854487462347e-5*sqrt(114114) + 0.000342522805671057*sqrt(494) + 0.00119843654556205*sqrt(10374)),0,0.000343136310530348*sqrt(858)*aF*(chi + 1.3228756555323),-0.00123003118931743*sqrt(858)*aF*(chi + 1.3228756555323),aF*(-0.00678805300329605*sqrt(858)*(chi + 1.3228756555323) - 0.0423883376977807*sqrt(39)),aF*(0.0039005115111243*sqrt(858)*(chi + 1.3228756555323) + 0.0314141022941351*sqrt(39)),aF*(-0.000398017309284351*sqrt(858)*(chi + 1.3228756555323) - 0.000223932044001252*sqrt(39)),-0.00161574601084622*sqrt(858)*aF*(chi + 1.3228756555323),-0.00117695622607707*sqrt(858)*aF*(chi + 1.3228756555323),0.00113073219494968*sqrt(858)*aF*(chi + 1.3228756555323),aF*(0.00495256050364496*sqrt(26) + 0.00104007693711848*sqrt(6006))*(chi + 1.3228756555323),aF*((-0.00358942744419118*sqrt(6006) - 0.0104655253904774*sqrt(26))*(chi + 1.3228756555323) - 0.0284954839486069*sqrt(273)),aF*((0.00393440269976801*sqrt(26) + 0.000414760746483996*sqrt(6006))*(chi + 1.3228756555323) + 0.000253307409753217*sqrt(273)),0,aF*(0.0215665459501465*sqrt(33) + 0.00437655014607267*sqrt(858))*(chi + 1.3228756555323),aF*(-0.00215598055004845*sqrt(858) + 0.0363800089699463*sqrt(33))*(chi + 1.3228756555323),aF*((-0.0304432035886539*sqrt(33) - 0.00527082119327188*sqrt(858))*(chi + 1.3228756555323) - 0.383521453993061*sqrt(6)),aF*((-0.0071300967012865*sqrt(33) + 0.00430625086620108*sqrt(858))*(chi + 1.3228756555323) + 0.0424003334988222*sqrt(6)),aF*(-0.00284511176914163*sqrt(33) + 0.00258088359017831*sqrt(858))*(chi + 1.3228756555323),aF*(-0.0042736656955572*sqrt(858) - 0.00685843550057595*sqrt(33))*(chi + 1.3228756555323),0,0,0,0,0,0,0,0,0,0
aF*(chi + 1.3228756555323)*(-0.00260730736383838*sqrt(494) - 0.000161413500519912*sqrt(10374) - 1.58163969922132e-5*sqrt(114114)),aF*((chi + 1.3228756555323)*(-4.59347063510593e-5*sqrt(114114) + 0.00284221791629668*sqrt(494) + 0.00331892829860222*sqrt(10374)) + 0.0155796119702603*sqrt(5187)),aF*(chi + 1.3228756555323)*(-0.000710358306594109*sqrt(10374) - 0.00201458140028961*sqrt(494) - 4.4901214430883e-7*sqrt(114114)),0,-0.00276029497626491*sqrt(858)*aF*(chi + 1.3228756555323),0.000172702293662717*sqrt(858)*aF*(chi + 1.3228756555323),aF*(0.00390051182148673*sqrt(858)*(chi + 1.3228756555323) + 0.0314141022941351*sqrt(39)),aF*(-0.00356146824234429*sqrt(858)*(chi + 1.3228756555323) - 0.0212816956642914*sqrt(39)),aF*(0.000234997990802137*sqrt(858)*(chi + 1.3228756555323) + 0.0114488103400339*sqrt(39)),-0.00256893611797375*sqrt(858)*aF*(chi + 1.3228756555323),-0.000428326872741398*sqrt(858)*aF*(chi + 1.3228756555323),0.000685549077173945*sqrt(858)*aF*(chi + 1.3228756555323),aF*(-0.0109987253705997*sqrt(26) - 0.000140878941209583*sqrt(6006))*(chi + 1.3228756555323),aF*((0.000715525198911917*sqrt(6006) + 0.0636217056976719*sqrt(26))*(chi + 1.3228756555323) + 0.0380638408674424*sqrt(273)),aF*((-0.00122683063913632*sqrt(6006) - 0.0145531663337121*sqrt(26))*(chi + 1.3228756555323) - 0.0188745215759959*sqrt(273)),0,aF*(-0.00262503807636026*sqrt(858) + 0.0429585087417486*sqrt(33))*(chi + 1.3228756555323),aF*(0.00278494110630176*sqrt(858) + 0.0174211428394429*sqrt(33))*(chi + 1.3228756555323),aF*((-0.00972698708728772*sqrt(33) + 0.000705585800340944*sqrt(858))*(chi + 1.3228756555323) - 0.286058662715533*sqrt(6)),aF*((-0.0250648250899367*sqrt(33) - 0.00448879795060428*sqrt(858))*(chi + 1.3228756555323) - 0.17212158275747*sqrt(6)),aF*(0.00705636812282212*sqrt(33) + 0.00283343590424424*sqrt(858))*(chi + 1.3228756555323),aF*(-0.00588095973321367*sqrt(33) + 0.00421099525106075*sqrt(858))*(chi + 1.3228756555323),0,0,0,0,0,0,0,0,0,0
aF*(chi + 1.3228756555323)*(-5.14548228941874e-5*sqrt(114114) + 0.00258842319198506*sqrt(494) + 0.00350124532507854*sqrt(10374)),aF*((chi + 1.3228756555323)*(-0.000910846655802312*sqrt(10374) - 0.00113073058882275*sqrt(494) + 1.00424070852902e-5*sqrt(114114)) - 0.00611857860761703*sqrt(5187)),aF*(chi + 1.3228756555323)*(-0.00620941194515013*sqrt(494) - 4.62394828707035e-5*sqrt(114114) + 4.204403226138e-5*sqrt(10374)),0,-7.19628737306966e-5*sqrt(858)*aF*(chi + 1.3228756555323),-0.00235137860850742*sqrt(858)*aF*(chi + 1.3228756555323),aF*(-0.000398017119482421*sqrt(858)*(chi + 1.3228756555323) - 0.000223932044001252*sqrt(39)),aF*(0.000234997450052096*sqrt(858)*(chi + 1.3228756555323) + 0.0114488103400339*sqrt(39)),aF*(0.00144788948335735*sqrt(858)*(chi + 1.3228756555323) + 0.0636700333620721*sqrt(39)),-0.00139840517566394*sqrt(858)*aF*(chi + 1.3228756555323),0.000162470750812879*sqrt(858)*aF*(chi + 1.3228756555323),0.000388244960578229*sqrt(858)*aF*(chi + 1.3228756555323),aF*(-0.0413291802999326*sqrt(26) + 0.0013876887919906*sqrt(6006))*(chi + 1.3228756555323),aF*((-0.00359551681506522*sqrt(26) - 0.000160780297270676*sqrt(6006))*(chi + 1.3228756555323) + 0.00612801465811369*sqrt(273)),aF*((-0.0197366158398063*sqrt(26) + 0.0025638916160179*sqrt(6006))*(chi + 1.3228756555323) + 0.049306293406831*sqrt(273)),0,aF*(-0.000100707860962247*sqrt(858) + 0.00100253932270848*sqrt(33))*(chi + 1.3228756555323),aF*(-0.000697559772190799*sqrt(858) + 0.0147895392047124*sqrt(33))*(chi + 1.3228756555323),aF*((0.000173865753768693*sqrt(858) + 0.00881390706017482*sqrt(33))*(chi + 1.3228756555323) - 0.0250944902295535*sqrt(6)),aF*((0.00135439500786374*sqrt(858) + 0.0200270684796663*sqrt(33))*(chi + 1.3228756555323) - 0.150947929832274*sqrt(6)),aF*(0.00135276039687358*sqrt(858) + 0.076095940493499*sqrt(33))*(chi + 1.3228756555323),aF*(-0.000726900677485984*sqrt(858) + 0.0025422117436601*sqrt(33))*(chi + 1.3228756555323),0,0,0,0,0,0,0,0,0,0
0,aF*(chi + 1.3228756555323)*(-0.00173787632794815*sqrt(494) - 7.17844231053188e-5*sqrt(114114) + 0.00293917037488364*sqrt(10374)),aF*(chi + 1.3228756555323)*(-0.000313130246706*sqrt(10374) + 6.79768695467255e-5*sqrt(114114) + 0.00843746580513814*sqrt(494)),0,0,0,-0.00161574613338854*sqrt(858)*aF*(chi + 1.3228756555323),-0.00256893574186976*sqrt(858)*aF*(chi + 1.3228756555323),-0.00139840491217489*sqrt(858)*aF*(chi + 1.3228756555323),aF*(0.00274388909594407*sqrt(858)*(chi + 1.3228756555323) + 0.0457853968618531*sqrt(39)),0,-0.00116304600189953*sqrt(858)*aF*(chi + 1.3228756555323),0,aF*(-0.0567381886274771*sqrt(26) + 0.00239958463057616*sqrt(6006))*(chi + 1.3228756555323),aF*(-0.00130755436192072*sqrt(6006) + 0.00817157115990348*sqrt(26))*(chi + 1.3228756555323),0,0,0,aF*(0.000499189304163091*sqrt(858) + 0.0698527796485123*sqrt(33))*(chi + 1.3228756555323),aF*(-0.000211513050610803*sqrt(858) + 0.0231423848637118*sqrt(33))*(chi + 1.3228756555323),aF*((-0.0583643319018896*sqrt(33) - 0.00152907204526837*sqrt(858))*(chi + 1.3228756555323) - 0.342098972275484*sqrt(6)),0,0,0,0,0,0,0,0,0,0,0
