-7.46153772592032*a3,3.92667967216074*a3,1.93564868678892e-8*a3,1.65982918253174e-14*a3,-1.69358857111128*a3,-4.42027054409547e-9*a3,0
3.92667967216074*a3,-7.66544479704733*a3,3.94421249223126*a3,2.49672091549404e-9*a3,2.93014239029217*a3,-1.6672198314337*a3,-1.10238644567081e-8*a3
1.93564868678892e-8*a3,3.94421249223126*a3,-8.74844532254912*a3,4.46280499733142*a3,1.92482258926768*a3,1.74904045340819*a3,1.45399855784797*a3
1.65982918253174e-14*a3,2.49672091549404e-9*a3,4.46280499733142*a3,-15.7668565269719*a3,-2.51123763594936*a3,5.56521573330628*a3,-5.06243159371795*a3
-1.69358857111128*a3,2.93014239029217*a3,1.92482258926768*a3,-2.51123763594936*a3,-11.6582859605381*a3,6.28393495763868*a3,-4.65334623369881*a3
-4.42027054409547e-9*a3,-1.6672198314337*a3,1.74904045340819*a3,5.56521573330628*a3,6.28393495763868*a3,-13.0714304097981*a3,10.1037451395252*a3
0,-1.10238644567081e-8*a3,1.45399855784797*a3,-5.06243159371795*a3,-4.65334623369881*a3,10.1037451395252*a3,-29.0279982055769*a3
