-4.9308997206154e-14*a3,1.69573027220611e-8*a3,-5.9584994824471e-7*a3,9.75827135143868e-8*a3,2.48361070731151e-7*a3,2.28231834999575e-8*a3,4.45234206461758e-15*a3,-6.19824666804125e-15*a3,-2.13659703320091e-15*a3,-2.2553722638843e-15*a3,0,0,-1.23436383208974e-7*a3,-9.77518769770173e-9*a3,-6.51016114130555e-8*a3,0,0,0,0
1.69573027220611e-8*a3,-0.00658301914562171*a3,0.231315780813281*a3,-0.0202623734747567*a3,-0.10712285966006*a3,-0.0146810539836903*a3,-1.34490730981973e-8*a3,-1.13333607466746e-7*a3,-7.53548607763913e-8*a3,2.37148245423825e-8*a3,2.34096653710554e-15*a3,-6.57178603869369e-15*a3,0.0248414412172703*a3,0.00530453242064619*a3,0.0353274273145057*a3,7.02738893460454e-8*a3,1.62159523678903e-8*a3,0,-2.54224580732348e-8*a3
-5.9584994824471e-7*a3,0.231315780813281*a3,-8.12803202751532*a3,0.711982331574332*a3,3.76411507315288*a3,0.515871407704809*a3,3.92292560380997e-7*a3,-4.89334574771046e-8*a3,-1.05387061710229e-7*a3,-4.11968909775681e-9*a3,-1.18351200676998e-14*a3,7.39770573423484e-15*a3,-0.872882609938477*a3,-0.186391869275096*a3,-1.24134652431753*a3,-6.44925502486122e-8*a3,4.93537932784207e-8*a3,0,1.56843250484067e-7*a3
9.75827135143868e-8*a3,-0.0202623734747567*a3,0.711982331574332*a3,-4.93410710175731*a3,0.760266168668458*a3,0.125227729239206*a3,2.33237063029673*a3,0.592180741211837*a3,0.00491897825137085*a3,0.000677175115162636*a3,-1.19656771930106e-7*a3,8.06049465832397e-8*a3,6.68633180206589*a3,-1.99635676420293*a3,-1.84717744291207*a3,-0.462174263806483*a3,0.0588301047963037*a3,5.28287347131701e-8*a3,0.972610378590541*a3
2.48361070731151e-7*a3,-0.10712285966006*a3,3.76411507315288*a3,0.760266168668458*a3,-8.64035775445421*a3,0.463563300068283*a3,1.21915846829293*a3,3.33643383514651*a3,0.675768919114112*a3,-0.0131638948388207*a3,2.80375509149426e-8*a3,3.52164728619998e-7*a3,-0.269118655844512*a3,-0.500807260879199*a3,3.28026449172852*a3,-0.864672039873017*a3,-0.108115550774544*a3,-1.47510419237408e-7*a3,-0.136285088074822*a3
2.28231834999575e-8*a3,-0.0146810539836903*a3,0.515871407704809*a3,0.125227729239206*a3,0.463563300068283*a3,-12.70282619171*a3,0.0875910560746936*a3,0.894996480374448*a3,5.74851174260039*a3,0.901273302204857*a3,4.43467364967042e-7*a3,-1.83002707369859e-8*a3,-0.244310212108554*a3,-0.173951126463751*a3,-1.607228194643*a3,-0.541950813324139*a3,-2.28140556283265*a3,8.66716900398657e-8*a3,0.00558161731315192*a3
4.45234206461758e-15*a3,-1.34490730981973e-8*a3,3.92292560380997e-7*a3,2.33237063029673*a3,1.21915846829293*a3,0.0875910560746936*a3,-11.1442126001585*a3,2.77006459315431*a3,0.482176258452997*a3,-0.00528476479040891*a3,2.81768123995619*a3,-0.502525015042635*a3,-3.37590229410287*a3,7.67069585345974*a3,-0.583926060408656*a3,-1.47401979994632*a3,-0.498384838102929*a3,-0.356214783657738*a3,-5.06580040865238*a3
-6.19824666804125e-15*a3,-1.13333607466746e-7*a3,-4.89334574771046e-8*a3,0.592180741211837*a3,3.33643383514651*a3,0.894996480374448*a3,2.77006459315431*a3,-12.5209389759063*a3,1.57452728871735*a3,0.0718078107636875*a3,3.9843902137083*a3,-0.376269175198735*a3,-1.22563133459964*a3,-0.498913993465329*a3,3.98789204740948*a3,0.556586726945812*a3,-1.69906994605336*a3,-0.588654938866883*a3,3.20834765868347*a3
-2.13659703320091e-15*a3,-7.53548607763913e-8*a3,-1.05387061710229e-7*a3,0.00491897825137085*a3,0.675768919114112*a3,5.74851174260039*a3,0.482176258452997*a3,1.57452728871735*a3,-14.7453767459709*a3,0.958223666819033*a3,3.90463362231914*a3,1.95844634719088*a3,-0.098422921813326*a3,-0.68441011778921*a3,-0.0644504919038933*a3,-1.22904982004039*a3,5.85896847694084*a3,-1.28278878978938*a3,-0.440281287211316*a3
-2.2553722638843e-15*a3,2.37148245423825e-8*a3,-4.11968909775681e-9*a3,0.000677175115162636*a3,-0.0131638948388207*a3,0.901273302204857*a3,-0.00528476479040891*a3,0.0718078107636875*a3,0.958223666819033*a3,-11.8792492877097*a3,1.39281264624103*a3,6.88595591714631*a3,-0.000857522824384517*a3,0.00143689027675995*a3,-0.289898627071986*a3,-0.470963058881937*a3,-2.4831835863363*a3,-4.48440399955447*a3,0.022017683654773*a3
0,2.34096653710554e-15*a3,-1.18351200676998e-14*a3,-1.19656771930106e-7*a3,2.80375509149426e-8*a3,4.43467364967042e-7*a3,2.81768123995619*a3,3.9843902137083*a3,3.90463362231914*a3,1.39281264624103*a3,-11.8658763002626*a3,5.25675368776106*a3,8.7137009932675e-8*a3,-2.7237274460349*a3,-2.54638187479483*a3,5.84176038894838*a3,-0.517681125848619*a3,-0.0266622795014801*a3,0.716411035089228*a3
0,-6.57178603869369e-15*a3,7.39770573423484e-15*a3,8.06049465832397e-8*a3,3.52164728619998e-7*a3,-1.83002707369859e-8*a3,-0.502525015042635*a3,-0.376269175198735*a3,1.95844634719088*a3,6.88595591714631*a3,5.25675368776106*a3,-15.7872681529017*a3,-1.10214013937807e-7*a3,0.425329561803973*a3,0.0701705748190178*a3,-4.79587765456474*a3,0.923894672261608*a3,6.66986955579754*a3,-0.164092348988861*a3
-1.23436383208974e-7*a3,0.0248414412172703*a3,-0.872882609938477*a3,6.68633180206589*a3,-0.269118655844512*a3,-0.244310212108554*a3,-3.37590229410287*a3,-1.22563133459964*a3,-0.098422921813326*a3,-0.000857522824384517*a3,8.7137009932675e-8*a3,-1.10214013937807e-7*a3,-9.15942837981349*a3,2.83697615699632*a3,2.24839848670498*a3,0.745393144312991*a3,-0.0644703101613781*a3,1.06917680199923e-14*a3,-1.32954385567716*a3
-9.77518769770173e-9*a3,0.00530453242064619*a3,-0.186391869275096*a3,-1.99635676420293*a3,-0.500807260879199*a3,-0.173951126463751*a3,7.67069585345974*a3,-0.498913993465329*a3,-0.68441011778921*a3,0.00143689027675995*a3,-2.7237274460349*a3,0.425329561803973*a3,2.83697615699632*a3,-5.61895821427107*a3,0.429526300504896*a3,0.553067395915943*a3,0.375751578560537*a3,0.360026778846945*a3,3.62661486810909*a3
-6.51016114130555e-8*a3,0.0353274273145057*a3,-1.24134652431753*a3,-1.84717744291207*a3,3.28026449172852*a3,-1.607228194643*a3,-0.583926060408656*a3,3.98789204740948*a3,-0.0644504919038933*a3,-0.289898627071986*a3,-2.54638187479483*a3,0.0701705748190178*a3,2.24839848670498*a3,0.429526300504896*a3,-15.9718470039918*a3,7.06498459982882*a3,3.75970833805853*a3,0.430674227239472*a3,-5.07775112260085*a3
0,7.02738893460454e-8*a3,-6.44925502486122e-8*a3,-0.462174263806483*a3,-0.864672039873017*a3,-0.541950813324139*a3,-1.47401979994632*a3,0.556586726945812*a3,-1.22904982004039*a3,-0.470963058881937*a3,5.84176038894838*a3,-4.79587765456474*a3,0.745393144312991*a3,0.553067395915943*a3,7.06498459982882*a3,-12.0053354122003*a3,2.40754077881026*a3,4.6756202863533*a3,9.12573434750002*a3
0,1.62159523678903e-8*a3,4.93537932784207e-8*a3,0.0588301047963037*a3,-0.108115550774544*a3,-2.28140556283265*a3,-0.498384838102929*a3,-1.69906994605336*a3,5.85896847694084*a3,-2.4831835863363*a3,-0.517681125848619*a3,0.923894672261608*a3,-0.0644703101613781*a3,0.375751578560537*a3,3.75970833805853*a3,2.40754077881026*a3,-24.1047187931831*a3,10.3165048333944*a3,-7.68941395729298*a3
0,0,0,5.28287347131701e-8*a3,-1.47510419237408e-7*a3,8.66716900398657e-8*a3,-0.356214783657738*a3,-0.588654938866883*a3,-1.28278878978938*a3,-4.48440399955447*a3,-0.0266622795014801*a3,6.66986955579754*a3,1.06917680199923e-14*a3,0.360026778846945*a3,0.430674227239472*a3,4.6756202863533*a3,10.3165048333944*a3,-18.7680027702394*a3,-4.44117073613202*a3
0,-2.54224580732348e-8*a3,1.56843250484067e-7*a3,0.972610378590541*a3,-0.136285088074822*a3,0.00558161731315192*a3,-5.06580040865238*a3,3.20834765868347*a3,-0.440281287211316*a3,0.022017683654773*a3,0.716411035089228*a3,-0.164092348988861*a3,-1.32954385567716*a3,3.62661486810909*a3,-5.07775112260085*a3,9.12573434750002*a3,-7.68941395729298*a3,-4.44117073613202*a3,-17.4168887998823*a3
