-6.24602849527397e-15*a3,5.71232458186067e-10*a3,-1.80731047008162e-7*a3,-8.16924850476728e-9*a3,1.04919584279417e-7*a3,8.75151935726207e-16*a3,-2.05083782367001e-15*a3,0,0,1.14697849658818e-8*a3,-7.53603839929219e-10*a3,-5.10580989996664e-8*a3,0,0,0,0,0,0
5.71232458186067e-10*a3,-7.2905747120764e-5*a3,0.0230665648387944*a3,-0.000270587968844807*a3,-0.0125167690706106*a3,4.04549391069717e-8*a3,-1.50867463486064e-8*a3,6.10796152896471e-16*a3,-1.63580888898652e-15*a3,0.000377220186786037*a3,8.34197005713362e-5*a3,0.00565405787178582*a3,-1.2596368890508e-8*a3,1.05382255995643e-8*a3,0,2.26165572243334e-8*a3,0,0
-1.80731047008162e-7*a3,0.0230665648387944*a3,-7.29800371745308*a3,0.0856017201676299*a3,3.96016884192047*a3,-9.61984631021053e-8*a3,-4.69079516852228e-7*a3,1.19905339084345e-14*a3,2.1311465887214e-15*a3,-0.119335183493206*a3,-0.026403301309295*a3,-1.78888183434548*a3,4.66564134069368e-8*a3,1.59443783445331e-7*a3,0,-6.60258402478231e-8*a3,0,0
-8.16924850476728e-9*a3,-0.000270587968844807*a3,0.0856017201676299*a3,-3.65479580110096*a3,0.0766275070239596*a3,2.8144848521992*a3,0.0759419083906518*a3,3.52001639549222e-8*a3,-3.22372250856517e-7*a3,5.15424470615337*a3,-2.29060826868481*a3,-0.253414890142229*a3,-1.15381949190056*a3,-0.0229370688510552*a3,1.19917446037095e-7*a3,1.98330912215738*a3,4.52018769866013e-8*a3,-2.29223136179026e-8*a3
1.04919584279417e-7*a3,-0.0125167690706106*a3,3.96016884192047*a3,0.0766275070239596*a3,-7.43006467034924*a3,0.144933707220929*a3,4.04780139870177*a3,-3.63654251603892e-7*a3,-2.36854833225417e-7*a3,-0.0394832944069036*a3,-0.110759577108072*a3,2.8693464585304*a3,-0.0797544271416388*a3,-1.86628122537*a3,1.17040656538069e-7*a3,-0.029623267463764*a3,-6.72201979954677e-8*a3,-4.66836306312974e-9*a3
8.75151935726207e-16*a3,4.04549391069717e-8*a3,-9.61984631021053e-8*a3,2.8144848521992*a3,0.144933707220929*a3,-6.94917599598026*a3,0.303061287810739*a3,4.15843713860864*a3,0.382002957145638*a3,-3.97234281786582*a3,5.62218169666589*a3,-0.153569194620653*a3,0.00892990109301992*a3,-0.62357174013057*a3,-1.22617499616497*a3,-4.35601496501984*a3,1.91768719263158*a3,0.064214327911003*a3
-2.05083782367001e-15*a3,-1.50867463486064e-8*a3,-4.69079516852228e-7*a3,0.0759419083906518*a3,4.04780139870177*a3,0.303061287810739*a3,-7.95997974184618*a3,0.559634498284825*a3,5.10265147211741*a3,-0.160316706623452*a3,-0.162322300951963*a3,1.32764446086547*a3,-0.576372162746062*a3,1.181189479499*a3,-2.66386661935158*a3,0.368459271463145*a3,0.0907186881766458*a3,1.82454743578481*a3
0,6.10796152896471e-16*a3,1.19905339084345e-14*a3,3.52001639549222e-8*a3,-3.63654251603892e-7*a3,4.15843713860864*a3,0.559634498284825*a3,-12.1384707301576*a3,3.67242298989152*a3,4.67245453859394e-8*a3,-3.37084583264318*a3,-0.357603741524632*a3,5.67822028539279*a3,-1.73990160512782*a3,0.982240589413878*a3,2.41749905614412*a3,-5.61624404082241*a3,1.48133185348427*a3
0,-1.63580888898652e-15*a3,2.1311465887214e-15*a3,-3.22372250856517e-7*a3,-2.36854833225417e-7*a3,0.382002957145638*a3,5.10265147211741*a3,3.67242298989152*a3,-8.72335833131222*a3,7.27292024711676e-8*a3,-0.388779983283469*a3,-2.91834447961024*a3,-2.00066076226492*a3,1.92856657976343*a3,3.54061247240954*a3,0.116165684446702*a3,1.90725682156604*a3,-3.16828831462773*a3
1.14697849658818e-8*a3,0.000377220186786037*a3,-0.119335183493206*a3,5.15424470615337*a3,-0.0394832944069036*a3,-3.97234281786582*a3,-0.160316706623452*a3,4.67245453859394e-8*a3,7.27292024711676e-8*a3,-7.26978206541063*a3,3.23304617480008*a3,0.332899312086017*a3,1.62875937597103*a3,0.0568788434372846*a3,3.74891171278108e-15*a3,-2.79749651144247*a3,5.90860303674661e-9*a3,6.68974133635527e-8*a3
-7.53603839929219e-10*a3,8.34197005713362e-5*a3,-0.026403301309295*a3,-2.29060826868481*a3,-0.110759577108072*a3,5.62218169666589*a3,-0.162322300951963*a3,-3.37084583264318*a3,-0.388779983283469*a3,3.23304617480008*a3,-4.55044708933349*a3,0.13764664036397*a3,-0.00532680704840748*a3,0.455323113101643*a3,1.03308655709657*a3,3.5304490081335*a3,-1.54834488508802*a3,-0.0406621573657187*a3
-5.10580989996664e-8*a3,0.00565405787178582*a3,-1.78888183434548*a3,-0.253414890142229*a3,2.8693464585304*a3,-0.153569194620653*a3,1.32764446086547*a3,-0.357603741524632*a3,-2.91834447961024*a3,0.332899312086017*a3,0.13764664036397*a3,-10.275850190199*a3,0.83550122637136*a3,6.92470680607787*a3,1.53289897528115*a3,-0.956997170532147*a3,-0.501607015566112*a3,-5.93735565855693*a3
