-5.03163949649537e-14*a3,-5.80754496550672e-9*a3,4.61462665752429e-7*a3,4.50908646859627e-8*a3,-2.88402686033658e-7*a3,-6.97465726199973e-9*a3,5.0358246367838e-15*a3,-2.77359069710806e-15*a3,5.82027904976536e-17*a3,0,0,-6.16354356397598e-8*a3,8.87988512198313e-9*a3,1.45082147309499e-7*a3,0,0,0,0,0,0
-5.80754496550672e-9*a3,-0.00121114992008393*a3,0.09623669558548*a3,-0.00416276038964778*a3,-0.048902743721803*a3,-0.00218974588686421*a3,1.00317391510359e-7*a3,-1.19547014703689e-7*a3,2.94741675557635e-8*a3,4.84248650782682e-15*a3,2.22533334509523e-15*a3,0.00553515563465082*a3,0.00120869645925886*a3,0.019749265446424*a3,-3.29442927646711e-8*a3,4.27533094141654e-8*a3,-1.36732202707458e-8*a3,0,8.23910455948841e-8*a3,0
4.61462665752429e-7*a3,0.09623669558548*a3,-7.64686635729229*a3,0.330750871883467*a3,3.88578619047124*a3,0.173982163939886*a3,-1.4330294870455e-8*a3,-1.43010275509345e-7*a3,-1.24094514869047e-7*a3,2.87015561409033e-15*a3,-6.82989696703655e-15*a3,-0.439794248246513*a3,-0.0960487132442087*a3,-1.56927148877165*a3,5.3653297105886e-10*a3,5.62169226183673e-8*a3,7.41767543247025e-8*a3,0,2.30385216128668e-8*a3,0
4.50908646859627e-8*a3,-0.00416276038964778*a3,0.330750871883467*a3,-4.15526201869346*a3,0.317752215555516*a3,0.018067210685006*a3,2.63892463242099*a3,0.286069360038382*a3,0.000603005126571659*a3,1.09819521336322e-7*a3,2.14885837557876e-7*a3,5.78737735861827*a3,-2.1476255460795*a3,-0.935164376443342*a3,-0.852302688823061*a3,-0.0887172597448452*a3,7.03340179956392e-5*a3,-9.94885222883212e-8*a3,1.57557675036251*a3,1.02827278516786e-8*a3
-2.88402686033658e-7*a3,-0.048902743721803*a3,3.88578619047124*a3,0.317752215555516*a3,-7.9300796432156*a3,0.146177626749449*a3,0.561713297281605*a3,3.79865882668797*a3,0.23047007072206*a3,-1.65470655153192e-7*a3,7.13311447514132e-8*a3,-0.142211174310374*a3,-0.355699808241106*a3,3.03632944914336*a3,-0.288288074458278*a3,-1.40131367769773*a3,-0.0312075623033258*a3,-1.24715394906888e-8*a3,-0.0950422334346687*a3,-2.46910918913158e-8*a3
-6.97465726199973e-9*a3,-0.00218974588686421*a3,0.173982163939886*a3,0.018067210685006*a3,0.146177626749449*a3,-10.8328530656382*a3,0.0126585502480473*a3,0.284379602699335*a3,6.35023553742748*a3,-2.08149477103613e-7*a3,-1.47628346257384e-7*a3,-0.0357589972157783*a3,-0.0248135303876276*a3,-0.586301287670976*a3,-0.0069944114192299*a3,-0.208558205345923*a3,-3.60647144449179*a3,2.52072296218017e-7*a3,0.0011580544432244*a3,-1.17901301001712e-7*a3
5.0358246367838e-15*a3,1.00317391510359e-7*a3,-1.4330294870455e-8*a3,2.63892463242099*a3,0.561713297281605*a3,0.0126585502480473*a3,-8.58893109891986*a3,1.21363715940895*a3,0.0658516442172307*a3,3.1566188699164*a3,-0.167154999186854*a3,-3.72198740204351*a3,6.63491104283893*a3,-0.485328286971087*a3,0.798340478251038*a3,-2.01362422123829*a3,-0.0116168450424391*a3,-0.717023669961968*a3,-4.72645158482235*a3,0.807529763488722*a3
-2.77359069710806e-15*a3,-1.19547014703689e-7*a3,-1.43010275509345e-7*a3,0.286069360038382*a3,3.79865882668797*a3,0.284379602699335*a3,1.21363715940895*a3,-9.72110308974106*a3,0.511007382285783*a3,3.92149291013019*a3,0.823864087834274*a3,-0.600686789195156*a3,-0.49334944221732*a3,2.58721932352271*a3,-1.61012723574024*a3,2.31106306061117*a3,-0.904733892879387*a3,-1.29731497729204*a3,1.44837290688576*a3,0.922874559543987*a3
5.82027904976536e-17*a3,2.94741675557635e-8*a3,-1.24094514869047e-7*a3,0.000603005126571659*a3,0.23047007072206*a3,6.35023553742748*a3,0.0658516442172307*a3,0.511007382285783*a3,-11.236100143009*a3,0.871443172184813*a3,6.2785814705161*a3,-0.0144171266797395*a3,-0.0975874134263975*a3,-0.133826740137923*a3,-0.177715683546481*a3,-0.914087583636902*a3,4.71833375768261*a3,-3.25645661321085*a3,-0.0571903462393437*a3,-0.0461496684561906*a3
0,4.84248650782682e-15*a3,2.87015561409033e-15*a3,1.09819521336322e-7*a3,-1.65470655153192e-7*a3,-2.08149477103613e-7*a3,3.1566188699164*a3,3.92149291013019*a3,0.871443172184813*a3,-11.880664489059*a3,4.79847765734382*a3,-5.18123148687951e-8*a3,-2.71850366002763*a3,-2.28662563240629*a3,4.63088797928463*a3,2.6186398608182*a3,-1.56540572368673*a3,0.303172625814036*a3,1.35239952535456*a3,-3.18498914702923*a3
0,2.22533334509523e-15*a3,-6.82989696703655e-15*a3,2.14885837557876e-7*a3,7.13311447514132e-8*a3,-1.47628346257384e-7*a3,-0.167154999186854*a3,0.823864087834274*a3,6.2785814705161*a3,4.79847765734382*a3,-12.5579656103355*a3,-8.00306721505454e-8*a3,0.0748000303696515*a3,-0.590113951866523*a3,-2.71574245282012*a3,-1.10777339662174*a3,-0.109615546733736*a3,5.15567939504527*a3,-0.129395272990191*a3,1.7558162954346*a3
