-3.05151094966119e-15*v3,3.09613186691861e-9*v3,-3.47641350476936e-8*v3,-4.25490229057178e-8*v3,4.54586517267337e-8*v3,2.76681543038274e-8*v3,-2.49925250438317e-16*v3,-2.36161604324768e-15*v3,0,4.82694734995272e-8*v3,-2.43769268483071e-8*v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.09613186691861e-9*v3,-0.0719903770067176*v3,0.808325988060943*v3,-0.167522580305319*v3,-0.295580244276674*v3,-0.119010946566989*v3,-5.43302033688757e-8*v3,-7.20412863048332e-8*v3,-7.36292277722343e-15*v3,0.146983285163652*v3,0.0410198061222542*v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3.47641350476936e-8*v3,0.808325988060943*v3,-9.07608669578855*v3,1.88098543553967*v3,3.31884333198326*v3,1.33629625325334*v3,-1.85220884231085e-7*v3,-3.52858661180992e-7*v3,-7.52746911405811e-15*v3,-1.65036290634589*v3,-0.46057707376243*v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.25490229057178e-8*v3,-0.167522580305319*v3,1.88098543553967*v3,-7.29683589528373*v3,2.72621696332623*v3,1.17504903646528*v3,1.5373384114238*v3,-0.623502062926739*v3,-3.74447778064452e-7*v3,8.43325213758477*v3,-3.7331341666187*v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.54586517267337e-8*v3,-0.295580244276674*v3,3.31884333198326*v3,2.72621696332623*v3,-10.3779312459046*v3,1.31748497376733*v3,3.40682842384058*v3,-0.965049726746543*v3,5.88018990299579e-8*v3,-0.301033771266904*v3,3.09968150092671*v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.76681543038274e-8*v3,-0.119010946566989*v3,1.33629625325334*v3,1.17504903646528*v3,1.31748497376733*v3,-17.2831099604534*v3,4.67168188618029*v3,3.46425867178343*v3,-2.80094133175822e-7*v3,-2.16124158589795*v3,-2.84645623714095*v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2.49925250438317e-16*v3,-5.43302033688757e-8*v3,-1.85220884231085e-7*v3,1.5373384114238*v3,3.40682842384058*v3,4.67168188618029*v3,-8.77582838782229*v3,-1.57373316853568*v3,6.43025383624698*v3,-3.66281724507383*v3,5.0348010458022*v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2.36161604324768e-15*v3,-7.20412863048332e-8*v3,-3.52858661180992e-7*v3,-0.623502062926739*v3,-0.965049726746543*v3,3.46425867178343*v3,-1.57373316853568*v3,-23.0552818370004*v3,6.00764714457637*v3,1.1952037031641*v3,-7.11436629984692*v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-7.36292277722343e-15*v3,-7.52746911405811e-15*v3,-3.74447778064452e-7*v3,5.88018990299579e-8*v3,-2.80094133175822e-7*v3,6.43025383624698*v3,6.00764714457637*v3,-12.3199982301251*v3,3.02400141004951e-8*v3,-4.69333306001833*v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.82694734995272e-8*v3,0.146983285163652*v3,-1.65036290634589*v3,8.43325213758477*v3,-0.301033771266904*v3,-2.16124158589795*v3,-3.66281724507383*v3,1.1952037031641*v3,3.02400141004951e-8*v3,-11.0669198360284*v3,4.04343531085845*v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-2.43769268483071e-8*v3,0.0410198061222542*v3,-0.46057707376243*v3,-3.7331341666187*v3,3.09968150092671*v3,-2.84645623714095*v3,5.0348010458022*v3,-7.11436629984692*v3,-4.69333306001833*v3,4.04343531085845*v3,-9.8093503617829*v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
