-2.03125409092464e-14*a3,-2.18896450855836e-8*a3,2.61137974254025e-7*a3,-1.43326711333889e-7*a3,-5.3668807373677e-8*a3,4.88010210744526e-15*a3,8.37295173113428e-8*a3
-2.18896450855836e-8*a3,-0.0236236374546052*a3,0.281824070128306*a3,-0.151712859898827*a3,-0.0635742021182056*a3,1.7760646933946e-7*a3,0.0857297881918533*a3
2.61137974254025e-7*a3,0.281824070128306*a3,-3.36209047638564*a3,1.80989516678752*a3,0.758423955678081*a3,5.06597042690227e-8*a3,-1.02273329881147*a3
-1.43326711333889e-7*a3,-0.151712859898827*a3,1.80989516678752*a3,-2.5239283554688*a3,0.944454217433625*a3,1.32294232553375*a3,2.78413328568201*a3
-5.3668807373677e-8*a3,-0.0635742021182056*a3,0.758423955678081*a3,0.944454217433625*a3,-6.52369107660077*a3,3.122257860784*a3,-2.318558507547*a3
4.88010210744526e-15*a3,1.7760646933946e-7*a3,5.06597042690227e-8*a3,1.32294232553375*a3,3.122257860784*a3,-4.66666762946306*a3,-1.41106748622486*a3
8.37295173113428e-8*a3,0.0857297881918533*a3,-1.02273329881147*a3,2.78413328568201*a3,-2.318558507547*a3,-1.41106748622486*a3,-3.59999996545835*a3
