-1.90067578214777e-17*a3,1.51072438425977e-9*a3,-8.19927588675058e-9*a3,5.41522993556423e-9*a3
1.51072438425977e-9*a3,-0.120077721126013*a3,0.651707468034873*a3,-0.430421641969147*a3
-8.19927588675058e-9*a3,0.651707468034873*a3,-3.53706432725109*a3,2.33606197589935*a3
5.41522993556423e-9*a3,-0.430421641969147*a3,2.33606197589935*a3,-1.54285731056635*a3
