-6.19243589064688e-15*a3,-8.99636409256982e-9*a3,1.66529289162091e-7*a3,-2.17881305006127e-8*a3,-8.0223488777262e-8*a3,-3.35046378409579e-8*a3,4.86295236044843e-16*a3,-3.30704765783783e-15*a3,2.23346006061502e-8*a3,2.26730700229594e-8*a3
-8.99636409256982e-9*a3,-0.0136983735917331*a3,0.25356691779467*a3,-0.0495129796212624*a3,-0.119133758575606*a3,-0.0357985127344803*a3,-1.55771252984538e-7*a3,-2.1750350870606e-8*a3,0.0545980972179943*a3,0.0293004869347429*a3
1.66529289162091e-7*a3,0.25356691779467*a3,-4.69370917425789*a3,0.91652145031813*a3,2.20525495170073*a3,0.662659382306085*a3,-6.03801627898152e-8*a3,6.1881939819808e-8*a3,-1.01065127718362*a3,-0.542372575026828*a3
-2.17881305006127e-8*a3,-0.0495129796212624*a3,0.91652145031813*a3,-3.66921697760137*a3,1.09858634459108*a3,0.346105374884603*a3,1.00279686764694*a3,-0.170660900309366*a3,4.35673732428755*a3,-2.45318744227235*a3
-8.0223488777262e-8*a3,-0.119133758575606*a3,2.20525495170073*a3,1.09858634459108*a3,-5.56866887771264*a3,0.699234747080738*a3,2.12884315622926*a3,-0.232702907151995*a3,-0.213337539366137*a3,1.99967471955766*a3
-3.35046378409579e-8*a3,-0.0357985127344803*a3,0.662659382306085*a3,0.346105374884603*a3,0.699234747080738*a3,-7.64048312105791*a3,2.44707938012359*a3,1.58967042900815*a3,-0.724572473099156*a3,-2.08114738949729*a3
4.86295236044843e-16*a3,-1.55771252984538e-7*a3,-6.03801627898152e-8*a3,1.00279686764694*a3,2.12884315622926*a3,2.44707938012359*a3,-4.14896942156004*a3,0.563233595889332*a3,-1.97658191840217*a3,2.07719587787258*a3
-3.30704765783783e-15*a3,-2.1750350870606e-8*a3,6.1881939819808e-8*a3,-0.170660900309366*a3,-0.232702907151995*a3,1.58967042900815*a3,0.563233595889332*a3,-2.27058606220446*a3,0.281798381060042*a3,-0.842720122812405*a3
2.23346006061502e-8*a3,0.0545980972179943*a3,-1.01065127718362*a3,4.35673732428755*a3,-0.213337539366137*a3,-0.724572473099156*a3,-1.97658191840217*a3,0.281798381060042*a3,-5.50793615839057*a3,2.76846504929043*a3
2.26730700229594e-8*a3,0.0293004869347429*a3,-0.542372575026828*a3,-2.45318744227235*a3,1.99967471955766*a3,-2.08114738949729*a3,2.07719587787258*a3,-0.842720122812405*a3,2.76846504929043*a3,-3.59339685572938*a3
