0,0,0,0,0,0,0,0,0,0
0,-2.76491729114006e-16*a3,2.55479181656099e-8*a3,-2.45078554416818e-8*a3,2.26594544533017e-15*a3,-3.62046367877087e-8*a3,2.01129303299954e-8*a3,1.24787872397792e-8*a3,-2.06348555211405e-8*a3,0
0,2.55479181656099e-8*a3,-2.36063525186886*a3,2.26453309956774*a3,-1.18664712311312e-7*a3,3.34531922828919*a3,-1.85844071772852*a3,-1.15304370534935*a3,1.90666676675143*a3,5.40048903785621e-8*a3
0,-2.45078554416818e-8*a3,2.26453309956774*a3,-4.2051435676365*a3,3.95119068814134*a3,-3.20913036912543*a3,3.4591312494457*a3,-0.883345991247792*a3,-3.2516368047221*a3,2.35238897390963*a3
0,2.26594544533017e-15*a3,-1.18664712311312e-7*a3,3.95119068814134*a3,-7.6800004196994*a3,2.96709533018671e-7*a3,-3.25834833508747*a3,3.86692776584964*a3,2.76511589424746*a3,-4.57238099884899*a3
0,-3.62046367877087e-8*a3,3.34531922828919*a3,-3.20913036912543*a3,2.96709533018671e-7*a3,-4.74074117562279*a3,2.63364600332664*a3,1.63400894853174*a3,-2.70198841644806*a3,0
0,2.01129303299954e-8*a3,-1.85844071772852*a3,3.4591312494457*a3,-3.25834833508747*a3,2.63364600332664*a3,-2.84548164666876*a3,0.732849928788167*a3,2.67418742499735*a3,-1.9398969332207*a3
0,1.24787872397792e-8*a3,-1.15304370534935*a3,-0.883345991247792*a3,3.86692776584964*a3,1.63400894853174*a3,0.732849928788167*a3,-2.51022213780857*a3,-0.460948497496776*a3,2.30222220597128*a3
0,-2.06348555211405e-8*a3,1.90666676675143*a3,-3.2516368047221*a3,2.76511589424746*a3,-2.70198841644806*a3,2.67418742499735*a3,-0.460948497496776*a3,-2.53555527901947*a3,1.64624504040495*a3
0,0,5.40048903785621e-8*a3,2.35238897390963*a3,-4.57238099884899*a3,0,-1.9398969332207*a3,2.30222220597128*a3,1.64624504040495*a3,-2.72222224689067*a3
