-5.51582456372394e-16*a3,6.05558548694536e-9*a3,-4.74371044667599e-8*a3,2.92231196752252e-8*a3,-1.08947843929552e-8*a3,2.55734547150584e-16*a3,-2.45894213356506e-8*a3
6.05558548694536e-9*a3,-0.11451141004365*a3,0.897037912380102*a3,-0.40965179261799*a3,-0.167013530518522*a3,5.50720179093055e-7*a3,0.180980367679308*a3
-4.74371044667599e-8*a3,0.897037912380102*a3,-7.02704661431476*a3,3.20905120304026*a3,1.30831550105605*a3,4.30370984292016e-8*a3,-1.41772749042373*a3
2.92231196752252e-8*a3,-0.40965179261799*a3,3.20905120304026*a3,-4.04290415261452*a3,1.42021135309849*a3,2.4323082622597*a3,5.07877948907167*a3
-1.08947843929552e-8*a3,-0.167013530518522*a3,1.30831550105605*a3,1.42021135309849*a3,-14.4171223372028*a3,4.60271114847547*a3,-5.04833605675371*a3
2.55734547150584e-16*a3,5.50720179093055e-7*a3,4.30370984292016e-8*a3,2.4323082622597*a3,4.60271114847547*a3,-5.65714294878205*a3,-3.22949362411347*a3
-2.45894213356506e-8*a3,0.180980367679308*a3,-1.41772749042373*a3,5.07877948907167*a3,-5.04833605675371*a3,-3.22949362411347*a3,-8.17460179297506*a3
