-5.60606120847313*a3,3.16148410812775*a3,-2.29892316083787e-7*a3,-1.45808872098731*a3,7.40201057983693e-8*a3
3.16148410812775*a3,-5.83679705164381*a3,3.00540945818095*a3,2.47356240627765*a3,-1.29532505678589*a3
-2.29892316083787e-7*a3,3.00540945818095*a3,-6.88647485219309*a3,1.35119015274589*a3,3.11172197214542*a3
-1.45808872098731*a3,2.47356240627765*a3,1.35119015274589*a3,-8.5746675764604*a3,3.51276430704654*a3
7.40201057983693e-8*a3,-1.29532505678589*a3,3.11172197214542*a3,3.51276430704654*a3,-11.2959998749657*a3
