-1.23894757409757e-14*a3,3.90488472808814e-9*a3,-2.35338612602679e-7*a3,3.8924899808727e-8*a3,1.15075624945716e-7*a3,-7.71622398886287e-10*a3,-5.59526885171192e-16*a3,-1.1895529010023e-15*a3,-4.35470424686212e-15*a3,0,-5.24029280634742e-8*a3,-3.84784824705381e-9*a3,-3.92166283308478e-8*a3,0,0,0
3.90488472808814e-9*a3,-0.00159566921942959*a3,0.0961675091904885*a3,-0.00610753147388343*a3,-0.0516826714698886*a3,-0.00328001306747883*a3,-3.2527709394926e-8*a3,-4.91421274154729e-8*a3,-8.93111154763704e-8*a3,-1.26927991228349e-16*a3,0.00815163265491959*a3,0.00212098508824081*a3,0.0216164906433097*a3,2.49449789216115e-8*a3,2.80754743931564e-8*a3,-2.21569055836581e-8*a3
-2.35338612602679e-7*a3,0.0961675091904885*a3,-5.79580636851716*a3,0.368081751711536*a3,3.1148115007292*a3,0.197686873564403*a3,-1.24145946074085e-8*a3,-1.40520664611323e-7*a3,-1.9179994537394e-7*a3,8.08552786633428e-17*a3,-0.491273707299599*a3,-0.127826278503777*a3,-1.30278359209283*a3,6.17375165036875e-9*a3,4.75219153659511e-8*a3,7.12102729483423e-8*a3
3.8924899808727e-8*a3,-0.00610753147388343*a3,0.368081751711536*a3,-3.19744714866839*a3,0.354903561930262*a3,0.0274070927756682*a3,1.90799096980666*a3,0.373212822680603*a3,0.00206999967465585*a3,-2.06807172218781e-7*a3,4.39988221411956*a3,-1.55997448084951*a3,-1.13692047538679*a3,-0.480197316602371*a3,0.0351002014456621*a3,1.08690123338163*a3
1.15075624945716e-7*a3,-0.0516826714698886*a3,3.1148115007292*a3,0.354903561930262*a3,-6.13010362223054*a3,0.176655784501968*a3,0.725842386822174*a3,2.78348201832535*a3,0.298584384575318*a3,1.000511569013e-8*a3,-0.167785089083358*a3,-0.430687542225868*a3,2.64134568209553*a3,-0.973222518241305*a3,-0.0849429106885486*a3,-0.0929798569478536*a3
-7.71622398886287e-10*a3,-0.00328001306747883*a3,0.197686873564403*a3,0.0274070927756682*a3,0.176655784501968*a3,-7.65631705923131*a3,0.022556873255293*a3,0.358828722028095*a3,4.91838371424313*a3,-7.41082155408555e-8*a3,-0.0568097481902897*a3,-0.052386824466064*a3,-0.728989462334424*a3,-0.380897462012936*a3,-3.03298227118457*a3,0.00162832281763176*a3
-5.59526885171192e-16*a3,-3.2527709394926e-8*a3,-1.24145946074085e-8*a3,1.90799096980666*a3,0.725842386822174*a3,0.022556873255293*a3,-7.75565477862265*a3,1.97715929985215*a3,0.146862718118476*a3,1.8446844954486*a3,-2.70597327021117*a3,5.50273782323518*a3,-0.75046382048646*a3,-0.760007722818951*a3,-0.58276722876292*a3,-4.46219475429152*a3
-1.1895529010023e-15*a3,-4.91421274154729e-8*a3,-1.40520664611323e-7*a3,0.373212822680603*a3,2.78348201832535*a3,0.358828722028095*a3,1.97715929985215*a3,-8.41113736028923*a3,0.854712739304301*a3,2.92816634380808*a3,-0.728823408006044*a3,-0.710745107690738*a3,2.16712799262672*a3,0.984702431330315*a3,-1.45471509732472*a3,2.29950748205671*a3
-4.35470424686212e-15*a3,-8.93111154763704e-8*a3,-1.9179994537394e-7*a3,0.00206999967465585*a3,0.298584384575318*a3,4.91838371424313*a3,0.146862718118476*a3,0.854712739304301*a3,-8.18368450120751*a3,4.41310584644263*a3,-0.0275419481517981*a3,-0.239682072179188*a3,-0.243290674436044*a3,-2.18204680807805*a3,4.26603787535825*a3,-0.151384818056874*a3
0,-1.26927991228349e-16*a3,8.08552786633428e-17*a3,-2.06807172218781e-7*a3,1.000511569013e-8*a3,-7.41082155408555e-8*a3,1.8446844954486*a3,2.92816634380808*a3,4.41310584644263*a3,-10.3657156806372*a3,1.28808370349151e-7*a3,-1.70596635439929*a3,-1.82195161702839*a3,4.09578399562313*a3,-0.428866552690941*a3,0.637774081138255*a3
