-7.1120960949304e-15*a3,-7.90777204993472e-10*a3,1.9143186466249e-7*a3,1.78944295885871e-9*a3,-1.16218192135912e-7*a3,4.81977746367363e-16*a3,3.15491551427066e-16*a3,0,-2.40137217149132e-9*a3,1.34670198977045e-9*a3,5.93413372026004e-8*a3,0,0,0,0
-7.90777204993472e-10*a3,-9.26682736433075e-5*a3,0.0224331957258668*a3,-0.000393441315346835*a3,-0.0132209776012262*a3,9.57078763158904e-8*a3,-1.50010736788154e-8*a3,2.66844781500279e-15*a3,0.00056071819908369*a3,0.000147821792382842*a3,0.00651702366064176*a3,-3.62098602646097e-8*a3,1.15836094200921e-8*a3,6.70080322513756e-8*a3,0
1.9143186466249e-7*a3,0.0224331957258668*a3,-5.43064255670029*a3,0.0952284326577956*a3,3.20054183104792*a3,6.88957884367632e-8*a3,-2.27384889897349e-7*a3,1.14722544270043e-14*a3,-0.135716335858295*a3,-0.0358033715374433*a3,-1.57764384701369*a3,-2.2790489475296e-9*a3,1.33868104671817e-7*a3,2.99953646386337e-8*a3,0
1.78944295885871e-9*a3,-0.000393441315346835*a3,0.0952284326577956*a3,-2.61196927271248*a3,0.0840543512541245*a3,2.16283443318602*a3,0.0988401295303918*a3,6.43542993897053e-8*a3,3.67632641599001*a3,-1.75237319209347*a3,-0.315947446086135*a3,-0.930362783983867*a3,-0.0525223678573297*a3,1.65388547384774*a3,-3.77229069519041e-8*a3
-1.16218192135912e-7*a3,-0.0132209776012262*a3,3.20054183104792*a3,0.0840543512541245*a3,-5.56173968483504*a3,0.184951834346414*a3,3.15517851909366*a3,-2.6829922200713e-7*a3,-0.049316715541542*a3,-0.149103882070921*a3,2.36984578045357*a3,-0.155498842305017*a3,-1.61413757032463*a3,-0.034396622402047*a3,-3.06451771905658e-8*a3
4.81977746367363e-16*a3,9.57078763158904e-8*a3,6.88957884367632e-8*a3,2.16283443318602*a3,0.184951834346414*a3,-5.27053824979533*a3,0.496139768971933*a3,2.1422827114342*a3,-3.04973004039367*a3,4.21551143628344*a3,-0.281241772965779*a3,1.13671669493385*a3,-1.52121622598029*a3,-3.67275858616402*a3,0.855441268873581*a3
3.15491551427066e-16*a3,-1.50010736788154e-8*a3,-2.27384889897349e-7*a3,0.0988401295303918*a3,3.15517851909366*a3,0.496139768971933*a3,-5.66165265695887*a3,3.93898133023905*a3,-0.197703440128456*a3,-0.298258131417552*a3,0.46660322873593*a3,-1.59100224011915*a3,1.05323571939036*a3,0.570132727339424*a3,1.54506752812606*a3
0,2.66844781500279e-15*a3,1.14722544270043e-14*a3,6.43542993897053e-8*a3,-2.6829922200713e-7*a3,2.1422827114342*a3,3.93898133023905*a3,-8.60571350772151*a3,-6.88136830323226e-8*a3,-1.8184119170073*a3,-2.28313885359049*a3,2.5886419864656*a3,2.28290107148514*a3,1.2255067020979*a3,-3.39096829280582*a3
-2.40137217149132e-9*a3,0.00056071819908369*a3,-0.135716335858295*a3,3.67632641599001*a3,-0.049316715541542*a3,-3.04973004039367*a3,-0.197703440128456*a3,-6.88136830323226e-8*a3,-5.17566180922757*a3,2.47132116407933*a3,0.417847445622324*a3,1.31327662453967*a3,0.103898687914118*a3,-2.32882109272438*a3,6.73253258910187e-8*a3
1.34670198977045e-9*a3,0.000147821792382842*a3,-0.0358033715374433*a3,-1.75237319209347*a3,-0.149103882070921*a3,4.21551143628344*a3,-0.298258131417552*a3,-1.8184119170073*a3,2.47132116407933*a3,-3.37507587361385*a3,0.236125657871102*a3,-0.87971240113701*a3,1.15833364913712*a3,2.95203002187833*a3,-0.67050219144867*a3
5.93413372026004e-8*a3,0.00651702366064176*a3,-1.57764384701369*a3,-0.315947446086135*a3,2.36984578045357*a3,-0.281241772965779*a3,0.46660322873593*a3,-2.28313885359049*a3,0.417847445622324*a3,0.236125657871102*a3,-6.67662761518504*a3,1.66142394439462*a3,5.28546040717334*a3,-1.47736121336335*a3,-5.17330337192216*a3
0,-3.62098602646097e-8*a3,-2.2790489475296e-9*a3,-0.930362783983867*a3,-0.155498842305017*a3,1.13671669493385*a3,-1.59100224011915*a3,2.5886419864656*a3,1.31327662453967*a3,-0.87971240113701*a3,1.66142394439462*a3,-4.08906741930983*a3,0.564178514850213*a3,4.96418603817156*a3,-2.65614105598541*a3
0,1.15836094200921e-8*a3,1.33868104671817e-7*a3,-0.0525223678573297*a3,-1.61413757032463*a3,-1.52121622598029*a3,1.05323571939036*a3,2.28290107148514*a3,0.103898687914118*a3,1.15833364913712*a3,5.28546040717334*a3,0.564178514850213*a3,-7.04344183417561*a3,-2.26630176430931*a3,7.72899222669863*a3
0,6.70080322513756e-8*a3,2.99953646386337e-8*a3,1.65388547384774*a3,-0.034396622402047*a3,-3.67275858616402*a3,0.570132727339424*a3,1.2255067020979*a3,-2.32882109272438*a3,2.95203002187833*a3,-1.47736121336335*a3,4.96418603817156*a3,-2.26630176430931*a3,-8.87555556569164*a3,5.8537271458618*a3
0,0,0,-3.77229069519041e-8*a3,-3.06451771905658e-8*a3,0.855441268873581*a3,1.54506752812606*a3,-3.39096829280582*a3,6.73253258910187e-8*a3,-0.67050219144867*a3,-5.17330337192216*a3,-2.65614105598541*a3,7.72899222669863*a3,5.8537271458618*a3,-12.5222224517671*a3
